rho,	rhou,	rhov,	rhoet
0.112301,	0.0588892,	0.097092,	0.128428
0.131871,	0.0819452,	0.0917433,	0.148686
0.132939,	0.0862601,	0.0870365,	0.152075
0.135161,	0.0890749,	0.0849442,	0.152993
0.13209,	0.088733,	0.0824736,	0.152334
0.125579,	0.0837409,	0.0797153,	0.145903
0.117076,	0.0780912,	0.0743146,	0.137427
0.107901,	0.07139,	0.0705992,	0.12882
0.0979299,	0.0638831,	0.0654186,	0.117196
0.0882886,	0.0571892,	0.0600252,	0.108087
0.0781765,	0.0500259,	0.0551025,	0.0976637
0.074287,	0.0543813,	0.0496058,	0.0870514
0.0842317,	0.0607843,	0.0459906,	0.0895759
0.0907615,	0.0653701,	0.0503532,	0.0975754
0.0968961,	0.0696671,	0.0552989,	0.10609
0.101968,	0.0721028,	0.0596277,	0.111966
0.105479,	0.0734426,	0.062942,	0.11569
0.107839,	0.0757119,	0.0654132,	0.121006
0.10761,	0.0744348,	0.0673933,	0.121637
0.104866,	0.0720104,	0.0667789,	0.119737
0.100388,	0.0677225,	0.0662412,	0.116379
0.094862,	0.0629491,	0.0646067,	0.110513
0.0886899,	0.0578596,	0.0618289,	0.105162
0.0815917,	0.0521981,	0.0594024,	0.0987586
0.074867,	0.0467424,	0.0562754,	0.0914758
0.0694781,	0.0515886,	0.0526077,	0.0846982
0.0773575,	0.057018,	0.0493759,	0.0811518
0.0852199,	0.063123,	0.0466908,	0.0912481
0.0917978,	0.0670185,	0.0513539,	0.0988087
0.0965354,	0.069903,	0.0552789,	0.104362
0.101063,	0.0730831,	0.0589585,	0.111374
0.105572,	0.0753851,	0.0630632,	0.117022
0.107006,	0.0762815,	0.065638,	0.119747
0.107718,	0.0757227,	0.0672247,	0.121946
0.10496,	0.0729534,	0.0676635,	0.119756
0.101518,	0.0694575,	0.0668065,	0.117463
0.0961478,	0.0646138,	0.0658644,	0.1132
0.090552,	0.0598219,	0.0637543,	0.107252
0.0840381,	0.0545444,	0.061073,	0.101596
0.0770036,	0.0555259,	0.0582232,	0.0950339
0.0805698,	0.0582511,	0.0548032,	0.0885433
0.0836771,	0.0601823,	0.051005,	0.0932462
