rho,	rhou,	rhov,	rhoet
1.00291,	0.741837,	0.719874,	1.14632
0.855405,	0.662102,	0.532971,	0.996022
0.744591,	0.585942,	0.438004,	0.868644
0.685849,	0.54367,	0.392341,	0.791186
0.657548,	0.520124,	0.379845,	0.752543
0.635743,	0.499202,	0.379399,	0.728233
0.614219,	0.479789,	0.376829,	0.705745
0.599131,	0.468379,	0.370668,	0.688279
0.593174,	0.465538,	0.365659,	0.680519
0.59022,	0.464375,	0.363515,	0.678281
0.584669,	0.460576,	0.361521,	0.674621
0.577527,	0.456038,	0.357748,	0.668481
0.57184,	0.453181,	0.353412,	0.662937
0.567291,	0.451086,	0.350025,	0.658994
0.561583,	0.447719,	0.347062,	0.654632
0.554313,	0.443172,	0.343323,	0.648657
0.547038,	0.439029,	0.338821,	0.642255
0.540481,	0.435686,	0.334432,	0.63679
0.533724,	0.432149,	0.330445,	0.631835
0.526178,	0.428133,	0.326377,	0.626566
0.518568,	0.424597,	0.322002,	0.621549
0.511641,	0.422173,	0.31782,	0.617851
0.505302,	0.42063,	0.314363,	0.615842
0.499368,	0.420106,	0.311632,	0.615719
0.49434,	0.421323,	0.30953,	0.617957
0.491317,	0.425308,	0.308685,	0.624021
0.49082,	0.432705,	0.310014,	0.635489
0.49318,	0.444023,	0.313848,	0.653106
0.500035,	0.460472,	0.320818,	0.678115
0.511545,	0.480591,	0.331913,	0.709533
0.526811,	0.502338,	0.346534,	0.744463
0.54744,	0.527805,	0.364258,	0.784593
0.573688,	0.558748,	0.385142,	0.832257
0.60284,	0.593299,	0.406596,	0.883185
0.630992,	0.626607,	0.426975,	0.931317
0.656523,	0.656948,	0.445843,	0.975126
0.682323,	0.686904,	0.465292,	1.01941
0.710512,	0.717559,	0.487254,	1.06661
0.741888,	0.748836,	0.512758,	1.11714
0.774778,	0.78024,	0.53872,	1.16715
0.806119,	0.81012,	0.562252,	1.21299
0.830262,	0.833712,	0.577952,	1.24533
0.841908,	0.845577,	0.581712,	1.25585
0.838458,	0.844478,	0.574046,	1.24519
0.824394,	0.833315,	0.561836,	1.22337
0.804844,	0.816087,	0.544469,	1.19192
0.783978,	0.794681,	0.530442,	1.16046
0.766981,	0.776612,	0.520879,	1.13639
0.747805,	0.757873,	0.509014,	1.1088
0.722132,	0.733939,	0.491273,	1.0713
0.69085,	0.705034,	0.466567,	1.02336
0.656029,	0.671843,	0.4399,	0.970751
0.621858,	0.638121,	0.411626,	0.916134
0.587672,	0.601943,	0.385212,	0.860416
0.554727,	0.567284,	0.362512,	0.80974
0.519693,	0.533295,	0.338297,	0.757975
0.479693,	0.495851,	0.311736,	0.701757
0.440948,	0.458833,	0.284585,	0.646426
0.407062,	0.424373,	0.259197,	0.594603
0.379116,	0.393415,	0.238956,	0.550509
0.355073,	0.366828,	0.219717,	0.509788
0.327299,	0.338228,	0.19938,	0.465815
0.295212,	0.307793,	0.178274,	0.420608
0.26465,	0.278282,	0.157436,	0.377284
0.238952,	0.250925,	0.140572,	0.339771
0.221345,	0.229826,	0.128214,	0.311177
0.20656,	0.211517,	0.117243,	0.285264
0.189643,	0.193732,	0.105223,	0.258582
0.169804,	0.174497,	0.0919603,	0.230024
0.150317,	0.154615,	0.0792582,	0.202102
0.135726,	0.137408,	0.0706418,	0.180536
0.126394,	0.124649,	0.0649116,	0.164707
0.118021,	0.113959,	0.0596719,	0.150539
0.107866,	0.103224,	0.0530076,	0.134972
0.0964725,	0.091656,	0.0454653,	0.118372
0.0861423,	0.0796759,	0.0396401,	0.103387
0.0795454,	0.0705892,	0.0362116,	0.0929415
0.0746813,	0.0635147,	0.033957,	0.0849065
0.069585,	0.0576103,	0.0309704,	0.0769408
0.0635766,	0.0513273,	0.027187,	0.0681032
0.0576111,	0.0444485,	0.023709,	0.0593472
0.0532115,	0.0384583,	0.0216,	0.0527459
0.0501199,	0.0340278,	0.0203823,	0.0481377
0.0472892,	0.0307746,	0.0190121,	0.044128
0.0440884,	0.0275312,	0.0172073,	0.0397234
0.0408683,	0.0240603,	0.0153813,	0.0352966
0.0381388,	0.0206841,	0.0141173,	0.0316594
0.0360447,	0.0182069,	0.0133019,	0.0291235
0.0341764,	0.0164514,	0.0125368,	0.0270557
0.0322514,	0.0149199,	0.0116125,	0.0249488
0.0303231,	0.0133517,	0.010669,	0.0228632
0.0285208,	0.0117288,	0.00987459,	0.0209798
0.0269479,	0.0104666,	0.00925684,	0.0195196
0.025499,	0.0095252,	0.00870879,	0.0182897
0.0240928,	0.00879318,	0.0081451,	0.0171404
0.0227049,	0.00810378,	0.00757911,	0.016016
0.0213481,	0.00736395,	0.00702827,	0.0149067
0.0200689,	0.00669221,	0.00653808,	0.0139093
0.0188677,	0.00613201,	0.00610592,	0.0130237
0.0177243,	0.00569606,	0.00570262,	0.0122199
0.0166116,	0.00531833,	0.00530268,	0.0114387
0.0155182,	0.00490877,	0.00489417,	0.010644
0.0144681,	0.00448883,	0.0045111,	0.00988283
0.0134781,	0.00410518,	0.00417496,	0.0091892
0.0125421,	0.00379488,	0.0038697,	0.00855685
0.0116401,	0.00352936,	0.00356964,	0.0079454
0.0107638,	0.00325153,	0.003265,	0.00733311
0.00992744,	0.00295953,	0.00297839,	0.00674562
0.00914176,	0.00268312,	0.00272768,	0.00620536
0.00840367,	0.00245594,	0.00250105,	0.0057112
0.00769992,	0.00225918,	0.00228046,	0.00523721
0.00702735,	0.00206142,	0.00206105,	0.00477459
0.00639369,	0.00185599,	0.00185658,	0.00433656
0.00580368,	0.00166024,	0.00167818,	0.00393398
0.00525495,	0.00149928,	0.00151807,	0.00356744
0.00473901,	0.0013608,	0.00136458,	0.00322102
0.00425427,	0.00122613,	0.0012149,	0.00289074
0.00380451,	0.00108827,	0.00107669,	0.00258275
0.00339111,	0.000955893,	0.000957051,	0.00230143
0.00301219,	0.000847978,	0.000851334,	0.00204836
0.00266194,	0.0007575,	0.000751874,	0.00181369
0.00233894,	0.00067238,	0.000656475,	0.00159483
0.00204492,	0.000586728,	0.000569305,	0.0013948
0.00177932,	0.000502954,	0.000495165,	0.00121394
0.00154056,	0.000435894,	0.000431099,	0.00105416
0.00132437,	0.000381868,	0.000371954,	0.000909175
0.00112948,	0.000333021,	0.000316257,	0.000777423
0.000956732,	0.000285184,	0.000266282,	0.000660704
0.000804283,	0.000236699,	0.000225179,	0.000556404
0.000670881,	0.000199405,	0.000190623,	0.000466677
0.000553476,	0.000171074,	0.00015935,	0.000387554
0.000451314,	0.000146798,	0.000130822,	0.000318569
0.000364865,	0.000124129,	0.000106237,	0.0002609
0.000291628,	9.9647e-05,	8.74241e-05,	0.000210044
0.000231126,	8.27379e-05,	7.23109e-05,	0.000168827
0.000181686,	7.12563e-05,	5.91967e-05,	0.000134974
0.000143531,	6.21948e-05,	4.84017e-05,	0.000108998
0.000117099,	5.44323e-05,	4.03537e-05,	9.13414e-05
9.93293e-05,	4.51525e-05,	3.55069e-05,	7.67133e-05
8.95169e-05,	4.03109e-05,	3.19731e-05,	6.80508e-05
8.5062e-05,	3.73995e-05,	2.91669e-05,	6.31313e-05
8.3882e-05,	3.48587e-05,	2.73575e-05,	6.10222e-05
8.39002e-05,	3.25775e-05,	2.61183e-05,	6.02148e-05
8.31276e-05,	2.95288e-05,	2.51942e-05,	5.82285e-05
8.1698e-05,	2.78216e-05,	2.40187e-05,	5.65373e-05
7.94557e-05,	2.62062e-05,	2.27099e-05,	5.45817e-05
7.64455e-05,	2.4336e-05,	2.14536e-05,	5.23137e-05
7.2693e-05,	2.24906e-05,	2.01271e-05,	4.96495e-05
6.81931e-05,	2.04847e-05,	1.87277e-05,	4.63441e-05
6.32887e-05,	1.88124e-05,	1.72094e-05,	4.29389e-05
5.81529e-05,	1.71137e-05,	1.5669e-05,	3.94295e-05
5.29197e-05,	1.53372e-05,	1.41837e-05,	3.58675e-05
4.76952e-05,	1.36769e-05,	1.27338e-05,	3.23333e-05
4.25506e-05,	1.21097e-05,	1.13306e-05,	2.88361e-05
3.75946e-05,	1.06764e-05,	9.98235e-06,	2.54836e-05
3.29087e-05,	9.32482e-06,	8.71441e-06,	2.23263e-05
2.85349e-05,	8.03037e-06,	7.55218e-06,	1.93691e-05
