rho,	rhou,	rhov,	rhoet
0.101281,	0.0875341,	0.0788661,	0.124334
0.0727294,	0.0632971,	0.0545127,	0.0913292
0.050888,	0.0444654,	0.0375085,	0.0649814
0.0530201,	0.0470127,	0.0373576,	0.0648948
0.05091,	0.0446182,	0.0375777,	0.0634176
0.0442882,	0.0386067,	0.0338196,	0.0560297
0.0440835,	0.0391117,	0.0311693,	0.0539244
0.0446739,	0.0392201,	0.0327604,	0.0555117
0.0414114,	0.0361914,	0.0312135,	0.0521511
0.0402362,	0.035737,	0.0284954,	0.049311
0.0412956,	0.036247,	0.0302778,	0.0512997
0.0391379,	0.0341862,	0.0294108,	0.0491486
0.0379225,	0.0342677,	0.0270542,	0.0465199
0.0390009,	0.0387144,	0.0286178,	0.0484303
0.0373407,	0.0411,	0.0279902,	0.0485609
0.0362592,	0.0416859,	0.0261907,	0.0491847
0.0372277,	0.0439965,	0.0273474,	0.0528373
0.0357848,	0.0435307,	0.0267824,	0.0528333
0.0366821,	0.0484893,	0.0263005,	0.0583124
0.0367977,	0.0527074,	0.02643,	0.0637786
0.0415538,	0.0583582,	0.0278268,	0.0712904
0.0439283,	0.061265,	0.0288566,	0.0751895
0.0438411,	0.0611656,	0.0281886,	0.0751933
0.0464997,	0.063638,	0.0330573,	0.0779996
0.0546804,	0.0744451,	0.0378791,	0.0915495
0.0610644,	0.0834252,	0.0412729,	0.102623
0.0653565,	0.0900104,	0.0449274,	0.110593
0.0712095,	0.0959066,	0.0483847,	0.119228
0.0755657,	0.101613,	0.0500304,	0.126308
0.0843458,	0.110208,	0.0554512,	0.135721
0.0937006,	0.123333,	0.065211,	0.151984
0.109637,	0.1452,	0.0746081,	0.179062
0.125791,	0.168532,	0.0837907,	0.207164
0.147959,	0.198534,	0.100398,	0.245962
0.183109,	0.240506,	0.122637,	0.29744
0.224945,	0.29608,	0.146532,	0.364386
0.250193,	0.321945,	0.157781,	0.393706
0.238172,	0.300747,	0.152921,	0.363609
0.260103,	0.348039,	0.199634,	0.43593
0.303292,	0.40361,	0.221215,	0.507241
0.30737,	0.418734,	0.219572,	0.531125
0.303125,	0.37903,	0.200643,	0.481918
0.356221,	0.448259,	0.24262,	0.551712
0.382621,	0.480261,	0.262102,	0.594881
0.360933,	0.449508,	0.246333,	0.564772
0.380304,	0.492503,	0.288572,	0.622695
0.436438,	0.555003,	0.305766,	0.686748
0.432653,	0.54365,	0.274828,	0.655315
0.358044,	0.454192,	0.224754,	0.566291
0.405493,	0.50823,	0.272449,	0.620247
0.431375,	0.552485,	0.298546,	0.682878
0.405704,	0.533192,	0.286232,	0.664773
0.337996,	0.445457,	0.251537,	0.55556
0.386767,	0.491885,	0.286927,	0.616468
0.417871,	0.526393,	0.281482,	0.642607
0.387092,	0.485601,	0.234107,	0.577037
0.298816,	0.389864,	0.203246,	0.478536
0.348697,	0.435422,	0.237394,	0.532269
0.357557,	0.458389,	0.246713,	0.564276
0.328575,	0.423,	0.220839,	0.521587
0.274008,	0.347414,	0.189202,	0.406441
0.288207,	0.363135,	0.216524,	0.458073
0.309191,	0.387969,	0.211818,	0.477444
0.281667,	0.356068,	0.180712,	0.438855
0.221179,	0.303995,	0.144771,	0.371346
