rho,	rhou,	rhov,	rhoet
0.260342,	0.197224,	0.173413,	0.289936
0.230937,	0.183751,	0.131925,	0.262829
0.194733,	0.156289,	0.109444,	0.226967
0.159089,	0.127526,	0.0901231,	0.188673
0.149936,	0.12485,	0.0740761,	0.161355
0.163977,	0.133846,	0.0885563,	0.1815
0.165857,	0.133701,	0.0958357,	0.187473
0.157771,	0.124914,	0.0958356,	0.18195
0.141219,	0.109839,	0.0898772,	0.165457
0.152166,	0.125893,	0.0790941,	0.166288
0.163221,	0.132472,	0.0913663,	0.183079
0.16377,	0.131923,	0.0963079,	0.1857
0.156913,	0.124486,	0.095385,	0.180375
0.147315,	0.122849,	0.0898792,	0.16701
0.160997,	0.130819,	0.089366,	0.179685
0.162472,	0.13145,	0.0960959,	0.184896
0.159824,	0.128369,	0.0955911,	0.182907
0.152856,	0.121099,	0.0930862,	0.17539
0.158191,	0.128199,	0.08786,	0.176302
0.159965,	0.127528,	0.0945449,	0.181338
0.158051,	0.126186,	0.0931712,	0.179366
0.153317,	0.121304,	0.0918638,	0.174682
0.153612,	0.123828,	0.0873946,	0.171005
0.15449,	0.12173,	0.0914213,	0.174398
0.15245,	0.120857,	0.0898309,	0.171389
0.146246,	0.119424,	0.0868435,	0.163016
0.152444,	0.122518,	0.0890561,	0.174193
0.144479,	0.112227,	0.0882319,	0.169124
0.144332,	0.119501,	0.0819838,	0.178607
0.153732,	0.122879,	0.0922958,	0.181182
0.145687,	0.132823,	0.091667,	0.201583
0.152119,	0.146198,	0.09164,	0.221525
0.162325,	0.151393,	0.100856,	0.23107
0.168901,	0.176,	0.11541,	0.264546
0.168885,	0.177185,	0.117848,	0.267077
0.197071,	0.199064,	0.12105,	0.293066
0.235689,	0.231819,	0.143905,	0.339443
0.245974,	0.236243,	0.146581,	0.341313
0.232147,	0.219606,	0.153007,	0.33162
0.264354,	0.244139,	0.172314,	0.36507
0.249351,	0.239548,	0.15376,	0.359242
0.23804,	0.238862,	0.154904,	0.352452
0.252006,	0.253147,	0.163278,	0.371543
0.216897,	0.227192,	0.139839,	0.328472
0.213756,	0.207426,	0.14173,	0.313226
0.246934,	0.234879,	0.15872,	0.349628
0.253857,	0.23938,	0.154938,	0.346383
0.219945,	0.211607,	0.123131,	0.29053
0.18597,	0.190057,	0.123289,	0.281421
0.183255,	0.191628,	0.11887,	0.279176
0.150772,	0.167348,	0.0936427,	0.235777
0.142435,	0.132085,	0.0933206,	0.200842
0.162145,	0.149318,	0.102674,	0.222847
0.167724,	0.156159,	0.099858,	0.224194
0.148288,	0.144229,	0.0792876,	0.193823
0.102206,	0.106654,	0.0581322,	0.132596
0.0831339,	0.0900503,	0.0535361,	0.128876
0.0850941,	0.0830095,	0.0518337,	0.116337
0.0914051,	0.0851904,	0.0518043,	0.12208
0.0868085,	0.0842575,	0.0455613,	0.112626
0.0799046,	0.0703856,	0.0469649,	0.100966
0.0745915,	0.0720935,	0.038429,	0.0945475
0.0530012,	0.0558883,	0.0219977,	0.0672251
0.0339392,	0.0371372,	0.0203924,	0.0465354
0.0403654,	0.032318,	0.0238386,	0.0495015
0.0466145,	0.0401749,	0.0257281,	0.0574409
0.045579,	0.0434895,	0.0220996,	0.0568466
0.0324175,	0.0342626,	0.0133784,	0.0411683
0.0228371,	0.0217901,	0.0110622,	0.0271404
0.0178075,	0.0181792,	0.00958371,	0.0210627
0.0219054,	0.0169378,	0.0115164,	0.0247868
0.0224368,	0.019971,	0.0105813,	0.0263571
0.0159042,	0.0162318,	0.00744929,	0.0194179
0.0133243,	0.0127898,	0.0060348,	0.015796
0.00922661,	0.0101719,	0.00384458,	0.0117385
0.00999303,	0.00646458,	0.00494849,	0.00991081
0.0101127,	0.00810391,	0.00472806,	0.0109112
0.00690546,	0.00664655,	0.00342501,	0.00792755
0.00607539,	0.00570552,	0.00264555,	0.00697836
0.0045345,	0.00431104,	0.00196137,	0.00490819
0.00451355,	0.00244394,	0.00208409,	0.00393923
0.00420791,	0.00305254,	0.00194784,	0.00418917
0.00287627,	0.00245821,	0.00136507,	0.00290473
0.00224171,	0.00207341,	0.000951597,	0.00249092
0.00204055,	0.00143397,	0.000852058,	0.00159037
0.00179115,	0.000855718,	0.000771275,	0.00142006
0.00143767,	0.000991742,	0.000657056,	0.00136112
0.00116488,	0.000753889,	0.000422113,	0.000856911
0.000975901,	0.000597848,	0.00031366,	0.00069531
0.000804329,	0.000371266,	0.000264777,	0.000517297
0.000649192,	0.00033159,	0.000202462,	0.000411542
0.000514005,	0.000236622,	0.000145494,	0.000324612
0.000399546,	0.000180289,	0.000114597,	0.000250497
0.000301053,	0.000214081,	8.53926e-05,	0.000245894
0.000217318,	0.000131836,	6.12951e-05,	0.000149765
0.000165905,	0.000113808,	6.61953e-05,	0.000133886
0.000155943,	0.000104126,	5.89392e-05,	0.000131176
0.000141656,	9.62608e-05,	5.36147e-05,	0.000119334
0.000131432,	7.22124e-05,	4.75412e-05,	9.22331e-05
0.000132426,	5.83227e-05,	4.84415e-05,	9.38985e-05
0.000124108,	6.21998e-05,	4.5131e-05,	8.79511e-05
0.000112017,	5.38013e-05,	4.00239e-05,	7.55114e-05
9.96885e-05,	4.53934e-05,	3.47702e-05,	6.43557e-05
9.21997e-05,	3.7494e-05,	3.12173e-05,	6.01523e-05
8.3432e-05,	3.72599e-05,	2.90479e-05,	5.76278e-05
7.13236e-05,	3.32866e-05,	2.55655e-05,	5.0968e-05
6.08828e-05,	2.59378e-05,	1.96551e-05,	4.05709e-05
5.2811e-05,	2.03481e-05,	1.64046e-05,	3.55708e-05
4.42126e-05,	1.73136e-05,	1.39949e-05,	3.01847e-05
3.46567e-05,	1.42345e-05,	1.14506e-05,	2.36585e-05
2.81842e-05,	1.18781e-05,	8.37282e-06,	1.87372e-05
2.19715e-05,	8.81672e-06,	6.8305e-06,	1.51076e-05
1.64256e-05,	6.91777e-06,	5.27853e-06,	1.14949e-05
1.20749e-05,	5.14319e-06,	3.63841e-06,	8.10987e-06
8.40962e-06,	3.14447e-06,	2.48094e-06,	5.43586e-06
5.47246e-06,	3.06055e-06,	1.9094e-06,	3.91929e-06
4.43178e-06,	2.61053e-06,	1.58912e-06,	3.09382e-06
4.02254e-06,	2.23469e-06,	1.62831e-06,	3.01724e-06
4.45901e-06,	2.36671e-06,	1.70309e-06,	3.36528e-06
4.44109e-06,	2.45964e-06,	1.72541e-06,	3.4413e-06
3.56577e-06,	2.16203e-06,	1.35172e-06,	2.54261e-06
3.67321e-06,	1.61338e-06,	1.1536e-06,	2.3944e-06
3.40608e-06,	1.48637e-06,	1.15882e-06,	2.3423e-06
2.93592e-06,	1.30317e-06,	9.97875e-07,	2.03092e-06
2.47372e-06,	1.12989e-06,	7.43869e-07,	1.59101e-06
2.16123e-06,	8.44054e-07,	6.26132e-07,	1.4556e-06
1.80817e-06,	7.29507e-07,	5.43173e-07,	1.23619e-06
1.44316e-06,	6.04888e-07,	4.41755e-07,	1.0082e-06
1.08385e-06,	4.42561e-07,	3.18522e-07,	7.2054e-07
8.19232e-07,	3.06675e-07,	2.53624e-07,	5.51204e-07
5.88444e-07,	2.30085e-07,	1.94195e-07,	4.05032e-07
4.01128e-07,	1.66375e-07,	1.38882e-07,	2.80941e-07
2.76727e-07,	1.23079e-07,	8.12202e-08,	1.82738e-07
2.51538e-07,	1.06474e-07,	8.30975e-08,	1.66639e-07
2.10566e-07,	1.1559e-07,	7.66784e-08,	1.4338e-07
1.84417e-07,	1.04681e-07,	6.13261e-08,	1.33186e-07
2.04667e-07,	8.29226e-08,	7.88705e-08,	1.40474e-07
2.11748e-07,	1.04417e-07,	8.05594e-08,	1.54975e-07
1.77995e-07,	1.0671e-07,	6.25783e-08,	1.42967e-07
1.70458e-07,	7.48853e-08,	5.31743e-08,	1.24999e-07
1.60653e-07,	7.72938e-08,	4.77951e-08,	1.21393e-07
1.33155e-07,	6.28789e-08,	4.34556e-08,	1.00296e-07
9.74221e-08,	5.24925e-08,	3.58943e-08,	7.69905e-08
8.46193e-08,	4.73042e-08,	2.76422e-08,	6.45672e-08
6.48842e-08,	3.28801e-08,	2.43333e-08,	5.28411e-08
5.17502e-08,	3.43917e-08,	1.83635e-08,	4.80907e-08
3.4572e-08,	2.38595e-08,	1.27565e-08,	3.37154e-08
2.42893e-08,	1.43869e-08,	8.78808e-09,	1.94855e-08
