rho,	rhou,	rhov,	rhoet
0.192844,	0.174599,	0.105312,	0.217491
0.175981,	0.159349,	0.0944764,	0.200231
0.161933,	0.146674,	0.0856494,	0.18528
0.150095,	0.136006,	0.0783433,	0.172229
0.139858,	0.126784,	0.0721698,	0.1606
0.131457,	0.11925,	0.0669976,	0.150833
0.124668,	0.113178,	0.0627832,	0.142798
0.119211,	0.108299,	0.0594314,	0.136269
0.114796,	0.104342,	0.05681,	0.130971
0.111149,	0.101057,	0.0547671,	0.126617
0.108025,	0.0982236,	0.0531451,	0.122929
0.105259,	0.0957005,	0.0518123,	0.119704
0.102745,	0.0933989,	0.0506687,	0.116802
0.100425,	0.0912718,	0.0496452,	0.114137
0.0982706,	0.0892995,	0.0487,	0.111664
0.0962727,	0.0874753,	0.0478114,	0.109366
0.0944269,	0.0857963,	0.0469708,	0.107234
0.092726,	0.0842552,	0.0461761,	0.105265
0.0911539,	0.0828357,	0.0454251,	0.103443
0.0896918,	0.0815186,	0.0447154,	0.101751
0.0883194,	0.0802838,	0.0440431,	0.100168
0.0870175,	0.0791127,	0.0434026,	0.0986741
0.0857721,	0.0779925,	0.0427881,	0.097251
0.084572,	0.076913,	0.0421939,	0.095884
0.0834105,	0.0758683,	0.0416156,	0.0945629
0.0822842,	0.0748554,	0.0410501,	0.0932818
0.0811913,	0.0738728,	0.0404961,	0.0920374
0.0801308,	0.0729193,	0.0399531,	0.0908278
0.0791001,	0.0719928,	0.0394207,	0.0896508
0.0780968,	0.0710905,	0.0388992,	0.088504
0.0771171,	0.0702088,	0.0383883,	0.087384
0.0761568,	0.0693434,	0.0378871,	0.0862865
0.0752113,	0.0684895,	0.0373944,	0.0852063
0.0742791,	0.0676462,	0.036909,	0.0841412
0.073358,	0.0668117,	0.0364297,	0.0830883
0.0724471,	0.0659851,	0.0359552,	0.0820459
0.0715457,	0.0651663,	0.0354848,	0.0810129
0.0706534,	0.0643549,	0.0350179,	0.0799887
0.0697697,	0.0635505,	0.0345542,	0.0789725
0.0688938,	0.0627522,	0.0340934,	0.0779637
0.0680244,	0.0619586,	0.0336354,	0.0769609
0.0671605,	0.0611686,	0.0331799,	0.0759627
0.0663005,	0.0603805,	0.0327264,	0.0749673
0.065442,	0.0595921,	0.0322741,	0.0739719
0.0645836,	0.0588013,	0.031822,	0.0729738
0.0637235,	0.0580066,	0.0313691,	0.0719705
0.0628604,	0.0572063,	0.0309144,	0.0709595
0.0619929,	0.0563988,	0.0304568,	0.0699386
0.0611198,	0.0555826,	0.0299956,	0.0689059
0.0602402,	0.0547569,	0.0295302,	0.0678601
0.0593536,	0.0539211,	0.02906,	0.0668007
0.058459,	0.0530745,	0.0285847,	0.065727
0.0575559,	0.0522165,	0.028104,	0.0646385
0.0566438,	0.0513469,	0.0276177,	0.0635351
0.0557224,	0.050465,	0.0271257,	0.0624165
0.054792,	0.0495715,	0.0266279,	0.0612833
0.0538528,	0.0486664,	0.0261246,	0.0601358
0.0529051,	0.0477494,	0.0256158,	0.0589737
0.0519496,	0.0468212,	0.0251022,	0.057798
0.0509872,	0.0458823,	0.0245842,	0.0566092
0.0500185,	0.0449324,	0.0240626,	0.0554078
0.0490446,	0.0439723,	0.0235382,	0.0541944
0.0480666,	0.0430025,	0.023012,	0.0529698
0.0470856,	0.0420232,	0.0224847,	0.0517348
0.0461031,	0.0410357,	0.0219573,	0.0504908
0.0451206,	0.0400413,	0.0214308,	0.0492396
0.0441396,	0.0390414,	0.0209061,	0.0479831
0.0431621,	0.038038,	0.0203841,	0.0467236
0.04219,	0.037033,	0.0198658,	0.0454636
0.0412251,	0.0360285,	0.0193523,	0.0442059
0.0402696,	0.0350274,	0.0188444,	0.042954
0.0393256,	0.034032,	0.0183432,	0.0417109
0.0383947,	0.033045,	0.0178495,	0.0404798
0.0374789,	0.0320687,	0.0173641,	0.0392637
0.0365797,	0.0311053,	0.0168878,	0.0380654
0.0356985,	0.0301568,	0.0164211,	0.0368874
0.0348367,	0.0292253,	0.0159646,	0.0357324
0.0339954,	0.0283127,	0.0155189,	0.0346024
0.0331755,	0.0274208,	0.0150843,	0.0334998
0.032378,	0.026551,	0.0146611,	0.0324262
0.0316032,	0.0257043,	0.0142496,	0.0313829
0.0308516,	0.0248815,	0.01385,	0.0303708
0.0301235,	0.0240835,	0.0134624,	0.029391
0.0294188,	0.0233108,	0.0130868,	0.0284438
0.0287375,	0.0225634,	0.0127232,	0.0275295
0.0280794,	0.0218416,	0.0123714,	0.0266484
0.027444,	0.0211455,	0.0120314,	0.0258001
0.026831,	0.0204746,	0.011703,	0.0249844
0.0262399,	0.0198288,	0.0113858,	0.0242008
0.02567,	0.0192076,	0.0110797,	0.0234487
0.0251207,	0.0186105,	0.0107844,	0.0227273
0.0245913,	0.0180368,	0.0104995,	0.0220357
0.0240811,	0.0174858,	0.0102247,	0.021373
0.0235893,	0.0169569,	0.0099596,	0.0207383
0.023115,	0.0164492,	0.00970393,	0.0201304
0.0226577,	0.0159619,	0.00945729,	0.0195482
0.0222163,	0.0154942,	0.00921931,	0.0189908
0.0217903,	0.0150453,	0.00898962,	0.018457
0.0213788,	0.0146144,	0.00876786,	0.0179458
0.0209812,	0.0142009,	0.00855367,	0.0174562
0.0205967,	0.0138038,	0.00834669,	0.016987
0.0202247,	0.0134223,	0.00814657,	0.0165374
0.0198644,	0.0130559,	0.00795297,	0.0161062
0.0195152,	0.0127038,	0.00776557,	0.0156927
0.0191765,	0.0123651,	0.00758404,	0.0152957
