rho,	rhou,	rhov,	rhoet
0.0691627,	0.0635598,	0.0323051,	0.0757761
0.0688282,	0.0632821,	0.0318686,	0.075471
0.068282,	0.0627977,	0.0314136,	0.0749545
0.0675624,	0.0621446,	0.030938,	0.0742593
0.0667034,	0.0613568,	0.0304414,	0.0734156
0.065735,	0.0604639,	0.0299246,	0.0724505
0.0646836,	0.0594921,	0.0293896,	0.0713888
0.0635721,	0.0584639,	0.0288388,	0.0702525
0.0624206,	0.0573988,	0.0282755,	0.0690612
0.0612468,	0.0563137,	0.0277028,	0.0678328
0.0600656,	0.0552231,	0.0271245,	0.0665828
0.0588901,	0.0541392,	0.0265443,	0.0653254
0.0577317,	0.0530727,	0.0259658,	0.0640731
0.0565997,	0.0520323,	0.0253927,	0.0628367
0.0555023,	0.0510255,	0.0248286,	0.0616259
0.0544461,	0.0500581,	0.0242768,	0.0604491
0.0534364,	0.049135,	0.0237406,	0.0593133
0.0524774,	0.0482596,	0.0232229,	0.0582244
0.051572,	0.0474344,	0.0227262,	0.0571872
0.050722,	0.046661,	0.0222528,	0.056205
0.0499285,	0.0459398,	0.0218046,	0.0552805
0.0491911,	0.0452703,	0.021383,	0.0544148
0.048509,	0.0446515,	0.0209891,	0.0536082
0.0478803,	0.0440813,	0.0206236,	0.0528601
0.0473025,	0.0435573,	0.0202865,	0.0521688
0.0467724,	0.0430763,	0.0199776,	0.0515318
0.0462865,	0.0426347,	0.0196964,	0.0509462
0.0458407,	0.042229,	0.0194416,	0.0504082
0.0454309,	0.0418549,	0.019212,	0.0499137
0.0450527,	0.0415087,	0.0190059,	0.0494583
0.0447019,	0.0411862,	0.0188214,	0.0490376
0.0443743,	0.0408836,	0.0186565,	0.048647
0.0440658,	0.0405974,	0.0185091,	0.0482819
0.0437729,	0.0403242,	0.0183768,	0.0479382
0.0434922,	0.040061,	0.0182576,	0.0476118
0.0432208,	0.0398054,	0.0181493,	0.0472992
0.0429561,	0.0395551,	0.0180499,	0.0469971
0.0426961,	0.0393084,	0.0179574,	0.0467028
0.0424391,	0.039064,	0.0178702,	0.0464139
0.042184,	0.0388208,	0.0177867,	0.0461285
0.0419299,	0.0385783,	0.0177057,	0.0458453
0.0416763,	0.0383362,	0.0176259,	0.0455633
0.0414232,	0.0380945,	0.0175464,	0.0452819
0.0411706,	0.0378536,	0.0174666,	0.0450009
0.040919,	0.037614,	0.0173859,	0.0447204
0.040669,	0.0373762,	0.0173041,	0.0444408
0.0404213,	0.037141,	0.0172208,	0.0441627
0.0401768,	0.0369093,	0.0171362,	0.0438867
0.0399362,	0.036682,	0.0170502,	0.0436139
0.0397005,	0.0364599,	0.0169632,	0.0433452
0.0394707,	0.0362439,	0.0168753,	0.0430815
0.0392473,	0.0360345,	0.0167871,	0.0428238
0.0390313,	0.0358326,	0.0166988,	0.0425729
0.038823,	0.0356385,	0.0166109,	0.0423298
0.0386231,	0.0354527,	0.0165239,	0.042095
0.0384308,	0.0352745,	0.0164379,	0.0418684
0.0382474,	0.0351048,	0.0163537,	0.0416512
0.0380726,	0.0349436,	0.0162714,	0.0414434
0.0379064,	0.0347907,	0.0161914,	0.0412452
0.0377483,	0.0346454,	0.016114,	0.0410563
0.0375978,	0.0345074,	0.0160393,	0.0408763
0.0374543,	0.0343759,	0.0159673,	0.0407047
0.037317,	0.0342502,	0.0158982,	0.040541
0.0371852,	0.0341295,	0.0158319,	0.0403843
0.037058,	0.0340129,	0.0157683,	0.0402338
0.0369345,	0.0338996,	0.0157072,	0.0400885
0.0368134,	0.0337881,	0.0156483,	0.0399472
0.0366942,	0.0336783,	0.0155914,	0.0398092
0.0365762,	0.0335692,	0.0155363,	0.0396737
0.0364586,	0.0334603,	0.0154826,	0.0395397
0.0363408,	0.0333509,	0.0154299,	0.0394065
0.0362221,	0.0332404,	0.015378,	0.039273
0.0361019,	0.0331283,	0.0153265,	0.0391388
0.0359801,	0.0330144,	0.015275,	0.0390033
0.0358565,	0.0328987,	0.0152234,	0.0388661
0.0357305,	0.0327806,	0.0151713,	0.0387268
0.0356025,	0.0326605,	0.0151185,	0.0385852
0.0354724,	0.0325384,	0.0150648,	0.0384413
0.0353404,	0.0324145,	0.0150102,	0.0382952
0.0352068,	0.0322891,	0.0149544,	0.0381471
0.0350716,	0.0321623,	0.0148975,	0.0379969
0.0349348,	0.0320341,	0.0148393,	0.0378447
0.0347976,	0.0319056,	0.0147801,	0.0376915
0.0346604,	0.0317774,	0.0147199,	0.0375378
0.0345238,	0.0316498,	0.0146588,	0.037384
0.0343882,	0.0315234,	0.0145971,	0.0372308
0.0342541,	0.0313985,	0.0145349,	0.0370785
0.0341217,	0.0312756,	0.0144724,	0.0369276
0.0339914,	0.0311548,	0.0144098,	0.0367786
0.0338634,	0.0310362,	0.0143473,	0.0366318
0.0337379,	0.0309202,	0.0142851,	0.0364874
0.0336152,	0.030807,	0.0142233,	0.0363459
0.0334953,	0.0306965,	0.0141623,	0.0362075
0.0333782,	0.0305888,	0.0141021,	0.0360722
0.0332639,	0.0304837,	0.0140429,	0.03594
0.0331522,	0.0303811,	0.0139848,	0.035811
0.033043,	0.0302808,	0.0139279,	0.035685
0.0329358,	0.0301825,	0.0138722,	0.0355617
0.0328306,	0.0300859,	0.0138178,	0.035441
0.0327268,	0.0299907,	0.0137645,	0.0353225
0.0326243,	0.0298965,	0.0137125,	0.035206
0.0325226,	0.0298029,	0.0136615,	0.0350909
0.0324213,	0.0297096,	0.0136116,	0.0349768
0.03232,	0.0296161,	0.0135625,	0.0348634
0.0322184,	0.0295223,	0.0135142,	0.0347502
0.0321162,	0.0294278,	0.0134664,	0.034637
0.0320131,	0.0293323,	0.0134191,	0.0345232
0.031909,	0.0292357,	0.013372,	0.0344087
0.0318034,	0.0291377,	0.0133249,	0.034293
0.0316965,	0.0290383,	0.0132778,	0.0341759
0.031588,	0.0289374,	0.0132305,	0.0340574
0.0314779,	0.0288351,	0.0131827,	0.0339372
0.0313664,	0.0287313,	0.0131345,	0.0338154
0.0312534,	0.0286261,	0.0130857,	0.0336918
0.0311391,	0.0285197,	0.0130362,	0.0335666
0.0310237,	0.0284123,	0.012986,	0.0334397
0.0309071,	0.0283038,	0.0129351,	0.0333113
0.0307897,	0.0281945,	0.0128833,	0.0331816
0.0306718,	0.0280848,	0.0128308,	0.0330507
0.0305535,	0.0279748,	0.0127776,	0.032919
0.0304352,	0.0278648,	0.0127237,	0.0327866
0.030317,	0.027755,	0.0126692,	0.0326538
0.0301991,	0.0276455,	0.0126142,	0.0325208
0.0300818,	0.0275365,	0.0125588,	0.0323878
0.0299652,	0.0274282,	0.0125031,	0.0322549
0.0298491,	0.0273203,	0.0124471,	0.0321223
