rho,	rhou,	rhov,	rhoet
0.0155821,	0.0139075,	0.00965169,	0.0183198
0.0158983,	0.0134812,	0.00946693,	0.0178576
0.0161961,	0.0137103,	0.00926798,	0.017447
0.0164759,	0.0139251,	0.00904907,	0.0177952
0.016738,	0.0141262,	0.00881874,	0.0181344
0.0169803,	0.0143113,	0.00862363,	0.0184544
0.0172027,	0.0144807,	0.00867848,	0.0187553
0.0174066,	0.014714,	0.00885305,	0.0190388
0.0202685,	0.0178029,	0.00816957,	0.0247041
0.017779,	0.0154197,	0.010813,	0.0193778
0.0186531,	0.0166349,	0.00934046,	0.02321
0.0185807,	0.0162471,	0.00987655,	0.0207732
0.0184675,	0.0159555,	0.0105291,	0.0205574
0.02141,	0.0185764,	0.00971382,	0.0254177
0.0196724,	0.0179653,	0.0137724,	0.02595
0.022198,	0.0195855,	0.0104816,	0.025446
0.0196754,	0.0174068,	0.0105948,	0.0254038
0.0217101,	0.0191289,	0.0111667,	0.0248678
0.0200773,	0.0171195,	0.0107382,	0.0222066
0.0196274,	0.016555,	0.0104468,	0.0218344
0.0195501,	0.0165354,	0.010599,	0.0221147
0.0197118,	0.0166701,	0.0107646,	0.0223408
0.0198362,	0.0167679,	0.0109101,	0.0225266
0.0199147,	0.0168228,	0.0110264,	0.0226607
0.0199526,	0.0168391,	0.0111193,	0.0227479
0.0199561,	0.0168196,	0.0112075,	0.0227917
0.0199643,	0.0167787,	0.0114334,	0.0227962
0.0200067,	0.0167674,	0.011581,	0.0228236
0.0200644,	0.0167773,	0.0116383,	0.022837
0.0202635,	0.0169748,	0.0115197,	0.0230614
0.0204222,	0.0171576,	0.0114629,	0.0233277
0.0205187,	0.0172799,	0.0114015,	0.0235687
0.020294,	0.0170845,	0.011335,	0.023884
0.0200069,	0.0169817,	0.0112231,	0.0237861
0.0195676,	0.0165859,	0.0110742,	0.0233162
0.0191151,	0.0161768,	0.0109078,	0.022821
0.0186494,	0.0157554,	0.010724,	0.0223009
0.0181746,	0.0153256,	0.0105125,	0.0217577
0.0176978,	0.0148828,	0.0102954,	0.021161
0.0172281,	0.0144607,	0.0100793,	0.0206079
0.0167462,	0.0140273,	0.00986068,	0.0200681
0.0164331,	0.0141814,	0.0096585,	0.0195371
0.0167134,	0.0143933,	0.00943709,	0.0190047
0.0169756,	0.0145911,	0.00924079,	0.0186357
0.0172212,	0.0147758,	0.00904241,	0.0189676
0.017449,	0.0149459,	0.00887479,	0.0192827
0.0176597,	0.0151023,	0.00903554,	0.0195815
0.017852,	0.0152437,	0.00921818,	0.0198621
0.0183912,	0.0158233,	0.00856798,	0.0216209
0.0177223,	0.0152754,	0.00964666,	0.0196169
0.0179293,	0.0154908,	0.00979232,	0.0199272
0.0181838,	0.0156892,	0.00992873,	0.0202858
0.0184178,	0.0158719,	0.0100559,	0.0206266
0.0186323,	0.0160394,	0.0101736,	0.0209496
0.0188244,	0.0161884,	0.0102816,	0.0212498
0.0188287,	0.0163413,	0.0116177,	0.0213304
0.0228952,	0.0201526,	0.0109774,	0.0261954
0.0213256,	0.0193211,	0.0110089,	0.0277169
0.0192745,	0.0166998,	0.0117507,	0.0221484
0.0212643,	0.019274,	0.0109874,	0.0280826
0.0194985,	0.0167279,	0.015339,	0.0225744
0.0233238,	0.020625,	0.011271,	0.0271743
0.0198316,	0.0170004,	0.0113116,	0.0230167
0.0197552,	0.0168829,	0.011468,	0.0229791
0.0197172,	0.0167729,	0.0115666,	0.0229628
0.0197008,	0.0166661,	0.0116721,	0.0230087
0.019716,	0.0165948,	0.0117616,	0.0231999
0.0196989,	0.0165566,	0.0117878,	0.0230533
0.0197246,	0.0165645,	0.0116794,	0.0231545
0.0196984,	0.016522,	0.0115715,	0.0231827
0.0191165,	0.0159519,	0.0113941,	0.022562
0.0185966,	0.0154526,	0.0112103,	0.022011
0.0180959,	0.0149691,	0.0110272,	0.0214697
0.0175917,	0.0144828,	0.0108276,	0.020903
0.0170757,	0.0139787,	0.0106012,	0.0202866
0.0165538,	0.0140851,	0.0103567,	0.0196601
0.0163491,	0.0144042,	0.0101029,	0.0190316
0.0167274,	0.0147077,	0.00984113,	0.0184708
0.0170869,	0.0149955,	0.00957793,	0.0189444
0.017427,	0.0152671,	0.00930799,	0.0194009
0.0177473,	0.0155219,	0.00903638,	0.0198386
0.0180471,	0.0157581,	0.00906813,	0.0202543
0.0183251,	0.0159748,	0.00930431,	0.0206465
0.0185809,	0.0161717,	0.00953011,	0.0210143
0.0188144,	0.016349,	0.00974505,	0.0213573
0.019025,	0.016506,	0.00994848,	0.0216746
0.0185897,	0.0163028,	0.0113788,	0.0208513
0.0195312,	0.0168425,	0.0102035,	0.0223529
0.0196441,	0.0169117,	0.0103749,	0.0225549
0.0197346,	0.0169618,	0.0105308,	0.0227299
0.0198025,	0.016993,	0.0106708,	0.0228777
0.0198463,	0.0170605,	0.0107939,	0.0229952
0.0200518,	0.0171562,	0.0113499,	0.0232872
0.0198921,	0.0171342,	0.0114979,	0.0230646
0.0200573,	0.0170956,	0.0116086,	0.0233473
0.0200813,	0.0170318,	0.0115418,	0.0234517
0.0200119,	0.0169489,	0.0114014,	0.0234372
0.021949,	0.0191999,	0.0112186,	0.0248187
0.0201595,	0.0172656,	0.0111585,	0.02335
0.0200366,	0.0170481,	0.0112261,	0.0231668
0.0199046,	0.0168344,	0.011139,	0.0229157
0.019729,	0.0166338,	0.0109575,	0.0227511
0.019517,	0.0163922,	0.0107985,	0.0225218
