rho,	rhou,	rhov,	rhoet
0.0473955,	0.0408068,	0.0374848,	0.0584406
0.0510806,	0.0437397,	0.0394825,	0.0622098
0.0496181,	0.0426353,	0.0377137,	0.0606586
0.047878,	0.0411922,	0.0362786,	0.0587039
0.046233,	0.0398236,	0.0349269,	0.0568364
0.0446799,	0.0385273,	0.0336539,	0.055055
0.043215,	0.0373006,	0.0324557,	0.0533576
0.0417956,	0.0359604,	0.0315784,	0.0516205
0.040649,	0.0349885,	0.0305447,	0.0502232
0.0395644,	0.0340834,	0.0295929,	0.0489136
0.0385705,	0.033255,	0.0287116,	0.0476962
0.0376615,	0.0324991,	0.0279013,	0.0465744
0.0368297,	0.0318081,	0.0271491,	0.0455343
0.036069,	0.0311774,	0.0264562,	0.0445746
0.035373,	0.0306009,	0.0258194,	0.0436892
0.0347355,	0.0300732,	0.0252355,	0.0428724
0.0341513,	0.0295935,	0.0247025,	0.0421189
0.0336123,	0.0291487,	0.0242123,	0.0414265
0.033115,	0.0287375,	0.0237656,	0.0407825
0.0326545,	0.0283567,	0.0233581,	0.0401863
0.0322259,	0.0280019,	0.0229864,	0.0396326
0.0318258,	0.0276697,	0.0226502,	0.039119
0.0314506,	0.0273626,	0.0223419,	0.0386427
0.0310952,	0.0270634,	0.0220592,	0.0381879
0.0307666,	0.0267917,	0.0218005,	0.0377693
0.0305224,	0.0266019,	0.0215931,	0.0374478
0.0305446,	0.0266051,	0.0215026,	0.0374049
0.030327,	0.0264179,	0.0213731,	0.0371148
0.0301345,	0.0262567,	0.0212482,	0.0368713
0.0299501,	0.0261018,	0.0211376,	0.0366431
0.0297701,	0.0259486,	0.0210373,	0.0364234
0.0295933,	0.0257944,	0.0209481,	0.0362068
0.0294169,	0.0256486,	0.0208742,	0.0360003
0.0292578,	0.0255026,	0.0208102,	0.0358017
0.0291255,	0.025401,	0.0208188,	0.0356541
0.0289856,	0.0252903,	0.0207486,	0.0354848
0.02885,	0.0252012,	0.0205725,	0.0353293
0.0287398,	0.0251523,	0.0203018,	0.0352131
0.0286347,	0.025106,	0.0200459,	0.035102
0.0284103,	0.0249338,	0.0198169,	0.0348333
0.0281226,	0.0246904,	0.0196209,	0.0344758
0.0278723,	0.0244835,	0.0194543,	0.0341619
0.0276487,	0.024295,	0.0193102,	0.033882
0.0274496,	0.0241282,	0.0191859,	0.0336296
0.0272671,	0.0239722,	0.0190774,	0.0333971
0.027099,	0.0238299,	0.018982,	0.0331857
0.0269412,	0.0236874,	0.0188986,	0.0329746
0.0267878,	0.023554,	0.0188216,	0.0327823
0.0267349,	0.0235095,	0.0187505,	0.0327051
0.0265217,	0.0233188,	0.0188635,	0.0324526
0.0266329,	0.0234025,	0.0187981,	0.0325381
0.0265134,	0.0233037,	0.0187633,	0.0323941
0.0264313,	0.0232304,	0.0187022,	0.0322961
0.0263225,	0.0231358,	0.018666,	0.0321618
0.0262188,	0.0230475,	0.0186198,	0.03204
0.0261151,	0.0229599,	0.0185717,	0.0319195
0.026011,	0.0228719,	0.0185214,	0.0317987
0.0259066,	0.0227841,	0.0184687,	0.031678
0.025803,	0.0227026,	0.0184134,	0.0315632
0.0256977,	0.0226121,	0.0183641,	0.0314396
0.0255869,	0.0225171,	0.0183139,	0.0313112
0.0254578,	0.0224065,	0.0182541,	0.0311574
0.0252886,	0.0222606,	0.0181874,	0.0309515
0.0250712,	0.0220728,	0.0180555,	0.0306805
0.0248888,	0.021921,	0.017916,	0.0304514
0.02473,	0.0217914,	0.0177949,	0.0302516
0.0245966,	0.0216883,	0.0176857,	0.0300876
0.0244881,	0.0216046,	0.017586,	0.0299529
0.0243838,	0.0215217,	0.0174981,	0.0298245
0.0242875,	0.0214527,	0.01742,	0.0297099
0.0242002,	0.0213869,	0.0173432,	0.0296062
0.0241056,	0.0213285,	0.0173321,	0.0294875
0.0242252,	0.0214604,	0.0171943,	0.0296511
0.024156,	0.0213688,	0.0172515,	0.0295293
0.0241478,	0.0213635,	0.0172277,	0.0295111
0.024094,	0.0213264,	0.01718,	0.0294522
0.0240388,	0.0212849,	0.0171326,	0.0293901
0.0239857,	0.0212527,	0.0170897,	0.0293404
0.0239315,	0.0212126,	0.0170445,	0.0292813
0.023864,	0.0211632,	0.0170048,	0.0292079
0.0238203,	0.0211308,	0.0169484,	0.0291643
0.0237428,	0.0210643,	0.0169113,	0.0290725
0.0236903,	0.0210211,	0.0168671,	0.029012
0.0236308,	0.0209758,	0.0168146,	0.0289466
0.0235781,	0.0209422,	0.0167608,	0.0288928
0.023535,	0.0209229,	0.0166984,	0.028849
0.0234846,	0.0209007,	0.0165856,	0.0287996
0.0234217,	0.0208669,	0.0164584,	0.0287314
0.0233392,	0.0208117,	0.016341,	0.028635
0.023211,	0.0207054,	0.016233,	0.0284777
0.023093,	0.0206058,	0.0161366,	0.02833
0.0229859,	0.0205157,	0.016051,	0.0281969
0.022888,	0.0204355,	0.0159734,	0.0280776
0.0227988,	0.0203655,	0.0159046,	0.0279705
0.0227291,	0.0203108,	0.0158527,	0.0278862
0.0227463,	0.0203555,	0.0157617,	0.0279283
0.0226309,	0.020229,	0.0157846,	0.0277623
0.0225788,	0.0201937,	0.015792,	0.0277093
0.0225886,	0.0201934,	0.015777,	0.0276928
0.022549,	0.0201634,	0.0157226,	0.0276522
0.0224816,	0.0200991,	0.0156928,	0.0275671
0.0224144,	0.0200447,	0.0156633,	0.0274905
0.0223606,	0.0199978,	0.0156223,	0.0274255
0.0222921,	0.0199431,	0.0155864,	0.0273503
0.022226,	0.0198833,	0.0155495,	0.0272701
0.0221579,	0.0198232,	0.015511,	0.0271893
0.0220883,	0.0197623,	0.0154714,	0.0271084
0.0220177,	0.0197016,	0.0154309,	0.0270253
0.0219444,	0.0196355,	0.0153947,	0.0269374
0.0218711,	0.0195718,	0.015354,	0.0268543
0.021769,	0.0194798,	0.0153097,	0.0267275
0.0216712,	0.0193933,	0.0152593,	0.0266099
0.0215426,	0.0192781,	0.0151942,	0.0264498
0.0214078,	0.0191645,	0.015103,	0.0262838
0.0212876,	0.019059,	0.0150146,	0.0261301
0.0211786,	0.0189639,	0.014934,	0.0259904
0.0210799,	0.0188793,	0.014861,	0.0258663
0.0209902,	0.0188033,	0.0147944,	0.0257526
0.0209262,	0.018756,	0.0147448,	0.0256757
0.0209516,	0.0187938,	0.0146729,	0.0257024
0.0208624,	0.0187122,	0.014668,	0.0255921
0.0208196,	0.0186699,	0.0146513,	0.0255259
0.0208135,	0.0186713,	0.0146358,	0.0255136
0.0207573,	0.0186241,	0.0145939,	0.0254429
0.0207039,	0.0185804,	0.0145543,	0.0253789
0.0206488,	0.0185338,	0.0145147,	0.0253105
0.0205881,	0.0184855,	0.0144858,	0.0252407
0.02056,	0.0184677,	0.0144346,	0.0252158
0.0205016,	0.0184143,	0.0144037,	0.025147
0.0204487,	0.0183706,	0.014364,	0.0250817
0.0203923,	0.01832,	0.0143276,	0.0250145
0.0203371,	0.0182703,	0.014298,	0.0249496
0.0202855,	0.0182314,	0.014255,	0.0248951
0.020233,	0.0181902,	0.0142108,	0.0248342
0.0201882,	0.0181596,	0.0141626,	0.0247858
0.0201479,	0.0181355,	0.0140863,	0.0247429
0.0200907,	0.0180996,	0.013991,	0.0246752
0.0200282,	0.0180573,	0.0139018,	0.0246024
0.0199408,	0.0179855,	0.0138211,	0.0244925
0.0198589,	0.0179172,	0.0137384,	0.0243911
0.0197699,	0.0178404,	0.0136668,	0.0242805
0.0196789,	0.0177622,	0.0136053,	0.0241676
0.0196222,	0.0177158,	0.0135537,	0.0240942
0.0196412,	0.017755,	0.0134711,	0.024125
0.0194684,	0.0175757,	0.013525,	0.0238951
