rho,	rhou,	rhov,	rhoet
0.0134786,	0.0116966,	0.0103264,	0.0164714
0.0130805,	0.0113572,	0.00998428,	0.016029
0.0126884,	0.0110217,	0.00965455,	0.0155906
0.0123022,	0.0106904,	0.00933588,	0.0151562
0.011922,	0.0103633,	0.00902718,	0.0147259
0.0115477,	0.0100406,	0.00872754,	0.0142996
0.0111792,	0.0097225,	0.00843617,	0.0138777
0.0108167,	0.00940901,	0.00815242,	0.0134601
0.01046,	0.00910026,	0.00787572,	0.0130471
0.0101093,	0.00879635,	0.00760561,	0.0126387
0.00976448,	0.00849734,	0.0073417,	0.012235
0.0094256,	0.00820332,	0.00708364,	0.0118363
0.00909266,	0.00791432,	0.00683117,	0.0114427
0.00876569,	0.00763042,	0.00658405,	0.0110542
0.0084447,	0.0073544,	0.00634208,	0.0106711
0.0081297,	0.00708447,	0.00610511,	0.0102935
0.00782206,	0.00681925,	0.00587299,	0.00992551
0.00752238,	0.00655879,	0.00564571,	0.00956281
0.00722841,	0.00630313,	0.00542506,	0.00920544
0.00694016,	0.0060523,	0.00520882,	0.00885356
0.00665767,	0.00580636,	0.00499693,	0.00850728
0.00638095,	0.00556533,	0.00478935,	0.00816674
0.00611002,	0.00532926,	0.00458606,	0.00783206
0.00608778,	0.00543379,	0.00438703,	0.00750338
0.0062,	0.00552428,	0.00421462,	0.00747018
0.0062969,	0.00560107,	0.00431292,	0.00760492
0.00637892,	0.00566463,	0.00440142,	0.00772228
0.00644651,	0.00571543,	0.00448017,	0.00782266
0.00650012,	0.00575394,	0.00454924,	0.00790645
0.00654019,	0.00578061,	0.00460872,	0.00797406
0.00656718,	0.00579589,	0.0046587,	0.00802589
0.00658153,	0.00580024,	0.00469932,	0.00806236
0.00658371,	0.0057941,	0.0047307,	0.0080839
0.00657417,	0.00577791,	0.00475299,	0.00809094
0.00655338,	0.00575214,	0.00476637,	0.00808393
0.00652179,	0.00571721,	0.00477102,	0.00806333
0.00647987,	0.00567356,	0.00476714,	0.00802959
0.00642806,	0.0056261,	0.00475494,	0.00798316
0.00636657,	0.00557297,	0.00473462,	0.00792437
0.00629553,	0.00551188,	0.00470636,	0.00785351
0.00621601,	0.00544324,	0.00467052,	0.00777695
0.00612959,	0.00536747,	0.00462738,	0.00769269
0.00604135,	0.00528497,	0.00457976,	0.00759771
0.00594567,	0.00519617,	0.00452892,	0.00749254
0.005843,	0.00510145,	0.00447146,	0.00737769
0.00573368,	0.0050011,	0.00440767,	0.00725362
0.00561776,	0.00489507,	0.00433778,	0.00712067
0.00549718,	0.00478441,	0.00426224,	0.00697967
0.00537996,	0.0047602,	0.00418136,	0.00683119
0.00545999,	0.00484791,	0.00409624,	0.00667695
0.00555643,	0.0049279,	0.00401209,	0.00671298
0.00564411,	0.00500003,	0.00392605,	0.00683433
0.00572287,	0.00506417,	0.00400144,	0.00694545
0.00579255,	0.00512021,	0.00407102,	0.00704607
0.0058532,	0.00516808,	0.00413459,	0.00713589
0.00590455,	0.0052077,	0.00419193,	0.00721474
0.00594652,	0.00523904,	0.00424288,	0.00728245
0.00597908,	0.00526211,	0.00428726,	0.00733889
0.00600224,	0.00527694,	0.00432497,	0.00738395
0.00601601,	0.00528358,	0.00435587,	0.00741755
0.00602046,	0.0052821,	0.00437988,	0.00743968
0.00601567,	0.00527262,	0.00439694,	0.00745032
0.00600175,	0.00525524,	0.00440701,	0.00744951
0.00597883,	0.00523012,	0.00441008,	0.00743732
0.00594706,	0.00519739,	0.00440615,	0.00741385
0.00590664,	0.0051577,	0.00439525,	0.00737923
0.00585777,	0.00511759,	0.00437744,	0.00733364
0.00580066,	0.00507037,	0.00435282,	0.00727728
0.00573558,	0.00501628,	0.00432147,	0.0072104
0.00566785,	0.00495555,	0.00428643,	0.00714185
0.00559735,	0.00488845,	0.00425042,	0.00706603
0.00552889,	0.00481754,	0.00420812,	0.00698054
0.00545721,	0.00475133,	0.0041597,	0.00688948
0.0053822,	0.00468136,	0.0041104,	0.00680014
0.00532295,	0.0047262,	0.00405845,	0.00670896
0.00541355,	0.00480129,	0.00400583,	0.00660941
0.0054968,	0.00486967,	0.00394789,	0.00667213
0.00557243,	0.00493115,	0.00391087,	0.00677876
0.00564022,	0.00498555,	0.00397909,	0.00687635
0.00569998,	0.00503273,	0.00404211,	0.00696457
0.00575154,	0.00507257,	0.00409968,	0.00704311
0.00579475,	0.00510497,	0.00415157,	0.00711173
0.00582949,	0.00512985,	0.00419759,	0.00717015
0.00585565,	0.00514713,	0.00423754,	0.00721818
0.00587319,	0.0051568,	0.00427126,	0.00725565
0.00588205,	0.00515885,	0.0042986,	0.00728242
