rho,	rhou,	rhov,	rhoet
0.0973689,	0.0648127,	0.0900422,	0.12006
0.10074,	0.0654462,	0.0893393,	0.121109
0.0991544,	0.0663522,	0.0853127,	0.121064
0.0962645,	0.0652583,	0.0835824,	0.11734
0.0933378,	0.0643489,	0.0815844,	0.114298
0.0935781,	0.0675862,	0.0748409,	0.119834
0.085239,	0.0580429,	0.0769249,	0.106682
0.0846043,	0.0573047,	0.0725729,	0.105048
0.0824928,	0.0562301,	0.070264,	0.102675
0.0805401,	0.0552362,	0.0680911,	0.100417
0.0787406,	0.0543181,	0.0660552,	0.0982749
0.077086,	0.0534705,	0.0641524,	0.0962511
0.0755723,	0.0527055,	0.0623866,	0.0943552
0.074183,	0.0520037,	0.0607203,	0.0925845
0.0729171,	0.0513637,	0.0591945,	0.0909319
0.0717727,	0.0507921,	0.0578101,	0.0894166
0.0707352,	0.0502772,	0.0565467,	0.0880162
0.0697954,	0.0498134,	0.0554059,	0.0867349
0.0689428,	0.0493936,	0.0543818,	0.0855646
0.0681714,	0.0490297,	0.0534759,	0.084519
0.0674672,	0.0486894,	0.0526606,	0.0835432
0.0667928,	0.0483942,	0.0518429,	0.0825813
0.0662254,	0.0481454,	0.0511734,	0.0817591
0.0657464,	0.047932,	0.0506513,	0.0810802
0.0653346,	0.0477444,	0.050261,	0.080525
0.0649658,	0.0475677,	0.0499703,	0.0800494
0.0648025,	0.0477834,	0.049659,	0.0801058
0.064089,	0.0470717,	0.0499914,	0.0789462
0.0639543,	0.0483544,	0.0504528,	0.0801094
0.0649678,	0.0481636,	0.0487327,	0.0814955
0.0632778,	0.0454054,	0.0503495,	0.0769725
0.0639753,	0.0464537,	0.0497871,	0.0784922
0.0637905,	0.0463628,	0.0499423,	0.0783063
0.0636364,	0.0462702,	0.0498719,	0.0781274
0.0634346,	0.0462023,	0.0497107,	0.0779311
0.0632461,	0.0461786,	0.0494514,	0.0777702
0.0630949,	0.0462643,	0.0489556,	0.0776948
0.0628963,	0.0463031,	0.0483563,	0.0775412
0.0626155,	0.0462641,	0.047779,	0.0772845
0.0621173,	0.0460009,	0.0472548,	0.0767157
0.0613847,	0.0454738,	0.0467708,	0.0758152
0.0607327,	0.0450063,	0.0463508,	0.0749723
0.0601802,	0.044618,	0.046006,	0.074237
0.0597069,	0.0442992,	0.0457267,	0.0736023
0.0592827,	0.0440284,	0.0454996,	0.0730006
0.0589332,	0.0437947,	0.045323,	0.0724866
0.0586422,	0.0435938,	0.0451991,	0.0720515
0.0583911,	0.0434289,	0.0451148,	0.0716857
0.0581634,	0.0433209,	0.0450609,	0.0714076
0.057974,	0.0432434,	0.0450488,	0.0711987
0.0577974,	0.0431375,	0.0450444,	0.0709896
0.0578026,	0.043399,	0.044959,	0.0712463
0.0575142,	0.0429135,	0.0451575,	0.070647
