rho,	rhou,	rhov,	rhoet
0.315362,	0.285497,	0.157994,	0.357495
0.313619,	0.283885,	0.157074,	0.355459
0.311867,	0.282265,	0.156148,	0.353411
0.310106,	0.280637,	0.155217,	0.351354
0.308336,	0.278999,	0.154282,	0.349285
0.306556,	0.277353,	0.153341,	0.347205
0.304767,	0.275698,	0.152395,	0.345114
0.302969,	0.274034,	0.151443,	0.343011
0.30116,	0.272361,	0.150486,	0.340897
0.299342,	0.270679,	0.149523,	0.33877
0.297513,	0.268986,	0.148554,	0.336632
0.295674,	0.267284,	0.14758,	0.33448
0.293824,	0.265573,	0.146599,	0.332317
0.291963,	0.263851,	0.145612,	0.33014
0.290091,	0.262118,	0.144619,	0.327951
0.288208,	0.260376,	0.14362,	0.325748
0.286314,	0.258623,	0.142614,	0.323531
0.284408,	0.256859,	0.141602,	0.321301
0.28249,	0.255084,	0.140583,	0.319057
0.280561,	0.253298,	0.139557,	0.316799
0.278619,	0.2515,	0.138524,	0.314526
0.276664,	0.24969,	0.137484,	0.312237
0.274696,	0.247867,	0.136436,	0.309932
0.272715,	0.24603,	0.135381,	0.30761
0.270719,	0.244179,	0.134319,	0.305268
0.268708,	0.24231,	0.133248,	0.302904
0.266681,	0.240422,	0.132169,	0.300516
0.264636,	0.238513,	0.131081,	0.2981
0.262572,	0.236579,	0.129984,	0.295653
0.260488,	0.234618,	0.128878,	0.29317
0.258381,	0.232626,	0.127761,	0.290649
0.256251,	0.230601,	0.126634,	0.288084
0.254097,	0.228541,	0.125495,	0.285473
0.251918,	0.226444,	0.124346,	0.282815
0.249712,	0.224309,	0.123184,	0.280107
0.247481,	0.222136,	0.12201,	0.277351
0.245224,	0.219926,	0.120823,	0.274545
0.242942,	0.21768,	0.119624,	0.271692
0.240635,	0.215398,	0.118411,	0.268794
0.238303,	0.213084,	0.117185,	0.265852
0.235948,	0.210739,	0.115945,	0.26287
0.23357,	0.208365,	0.114692,	0.259848
0.231171,	0.205963,	0.113426,	0.25679
0.228749,	0.203534,	0.112146,	0.253697
0.226306,	0.201081,	0.110852,	0.25057
0.223843,	0.198603,	0.109544,	0.247412
0.22136,	0.196103,	0.108223,	0.244223
0.218857,	0.193581,	0.106889,	0.241004
0.216335,	0.191039,	0.105542,	0.237758
0.213795,	0.188476,	0.104183,	0.234486
0.211238,	0.185896,	0.102811,	0.23119
0.208665,	0.183298,	0.101429,	0.227871
0.206079,	0.180686,	0.100037,	0.224534
0.203481,	0.178062,	0.0986362,	0.221181
0.200874,	0.175429,	0.0972293,	0.217817
0.198261,	0.17279,	0.0958178,	0.214447
0.195646,	0.170149,	0.0944041,	0.211075
0.193033,	0.16751,	0.0929907,	0.207708
0.190425,	0.164878,	0.0915804,	0.204353
0.187827,	0.162257,	0.0901761,	0.201015
0.185244,	0.159653,	0.0887804,	0.1977
0.182679,	0.157069,	0.0873963,	0.194417
0.180138,	0.154512,	0.0860265,	0.19117
0.177624,	0.151983,	0.0846733,	0.187964
0.175141,	0.149489,	0.0833391,	0.184806
0.172693,	0.147032,	0.0820258,	0.1817
0.170281,	0.144615,	0.0807351,	0.178649
0.16791,	0.14224,	0.0794683,	0.175656
0.16558,	0.139911,	0.0782266,	0.172724
0.163293,	0.137627,	0.0770106,	0.169854
0.16105,	0.135391,	0.0758211,	0.167048
0.158853,	0.133203,	0.0746582,	0.164307
0.156701,	0.131064,	0.073522,	0.16163
0.154595,	0.128973,	0.0724126,	0.159017
