rho,	rhou,	rhov,	rhoet
0.0309561,	0.0227998,	0.0224092,	0.0354602
0.0308819,	0.0230226,	0.021639,	0.0353934
0.0308306,	0.0232182,	0.0210023,	0.0353519
0.0307912,	0.0233866,	0.0204702,	0.035323
0.0308678,	0.0237451,	0.0200613,	0.035508
0.0314472,	0.0244207,	0.0199233,	0.0361259
0.0316309,	0.024699,	0.0197389,	0.0363584
0.0315628,	0.0247332,	0.0195174,	0.0363443
0.0312937,	0.0245758,	0.0192537,	0.0361246
0.0308648,	0.0242693,	0.0189474,	0.0357353
0.0303085,	0.0238459,	0.0186003,	0.035205
0.0296503,	0.0233304,	0.0182155,	0.0345574
0.0289107,	0.0227424,	0.0177967,	0.0338125
0.0281064,	0.0220975,	0.0173484,	0.0329871
0.0272514,	0.0214084,	0.016875,	0.0320959
0.0263613,	0.0206857,	0.0163807,	0.0311515
0.0254593,	0.0199379,	0.0158697,	0.030165
0.0245317,	0.0191733,	0.015346,	0.0291468
0.0235919,	0.0184073,	0.0148131,	0.0281069
0.0226474,	0.0176451,	0.0142744,	0.0270556
0.0217053,	0.0168866,	0.0137381,	0.0260017
0.0207716,	0.0161368,	0.0132108,	0.0249535
0.0198519,	0.0154,	0.0126849,	0.0239293
0.0189507,	0.0146801,	0.0121627,	0.0229181
0.0180719,	0.0139802,	0.0116467,	0.0219249
0.0173179,	0.0142602,	0.0111388,	0.0209549
0.0181524,	0.0149915,	0.0106694,	0.020271
0.0190197,	0.0156772,	0.0103066,	0.0208862
0.0198189,	0.0163025,	0.010717,	0.0218571
0.0205302,	0.0168488,	0.0112372,	0.0227393
0.0211464,	0.0173107,	0.0117188,	0.0235242
0.0216663,	0.0176892,	0.0121582,	0.0242098
0.0220873,	0.0179825,	0.0125513,	0.0247914
0.0224098,	0.0181919,	0.0128955,	0.0252675
0.0226356,	0.01832,	0.0131886,	0.025638
0.0227679,	0.0183857,	0.0134296,	0.0259045
0.0229037,	0.0185021,	0.0136183,	0.0260701
0.0230182,	0.0185369,	0.0137551,	0.0261387
0.0230395,	0.0184953,	0.0138414,	0.0261169
0.0229739,	0.0183831,	0.0138788,	0.0261538
0.0228277,	0.0182062,	0.0138698,	0.0260983
0.0226079,	0.017971,	0.013822,	0.0259565
0.0223485,	0.0176921,	0.0138071,	0.0257349
0.0220494,	0.0173962,	0.0137495,	0.0254407
0.0216917,	0.017055,	0.0136523,	0.0250809
0.0212823,	0.0166747,	0.0135185,	0.0246629
0.0208426,	0.0162613,	0.0133514,	0.0242342
0.020375,	0.0158347,	0.0131718,	0.0237572
0.0199071,	0.0155197,	0.0129756,	0.0232383
0.0194346,	0.015305,	0.0127537,	0.0226934
