rho,	rhou,	rhov,	rhoet
0.137925,	0.0580738,	0.138945,	0.170067
0.137916,	0.0543125,	0.131669,	0.164024
0.134467,	0.05591,	0.126503,	0.163594
0.131145,	0.0554615,	0.122116,	0.159669
0.128254,	0.0560263,	0.117757,	0.157543
0.124712,	0.0557956,	0.114055,	0.154381
0.121562,	0.0556301,	0.110382,	0.151426
0.118563,	0.0553907,	0.10688,	0.148433
0.115738,	0.0551325,	0.103589,	0.1455
0.11308,	0.0547493,	0.100383,	0.142502
0.110646,	0.0544589,	0.0974053,	0.139642
0.10838,	0.054102,	0.0945941,	0.136876
0.106362,	0.0538979,	0.0919907,	0.134279
0.104522,	0.0536741,	0.0895715,	0.131829
0.102783,	0.0532757,	0.0873036,	0.129493
0.101301,	0.0531174,	0.085285,	0.127394
0.1002,	0.0535221,	0.0835811,	0.12565
0.0988436,	0.0529794,	0.0817968,	0.123764
0.0977243,	0.0529799,	0.0801689,	0.122012
0.0968178,	0.0530639,	0.0787819,	0.120517
0.0961416,	0.053188,	0.0777052,	0.119324
0.0956714,	0.053368,	0.0769375,	0.118443
0.09622,	0.0555699,	0.0771343,	0.118484
0.0956004,	0.0547765,	0.0765334,	0.117809
0.0952263,	0.0542296,	0.0762396,	0.11744
0.095325,	0.0546418,	0.0764669,	0.117547
0.0954474,	0.0549868,	0.0768114,	0.117736
0.0957905,	0.0560415,	0.0776409,	0.118307
0.0956648,	0.0556957,	0.0777733,	0.118462
0.0956075,	0.0559089,	0.0781626,	0.118668
0.0939454,	0.0542161,	0.0793313,	0.11716
0.0970355,	0.058163,	0.0779378,	0.121054
0.0929536,	0.052798,	0.0764027,	0.119445
0.0931776,	0.050721,	0.0769579,	0.114387
0.0936593,	0.0517864,	0.0767766,	0.115557
0.0931857,	0.0516575,	0.0761157,	0.115155
0.0926031,	0.0515101,	0.0752831,	0.114698
0.0919341,	0.0513374,	0.0744516,	0.114142
0.0907721,	0.0507098,	0.0736298,	0.112824
0.089402,	0.0498258,	0.0728707,	0.11113
0.0881156,	0.0490588,	0.0720766,	0.10941
0.0871062,	0.0484929,	0.0714613,	0.107976
0.0862484,	0.0480754,	0.0709005,	0.106667
0.0855947,	0.0478206,	0.0704717,	0.105593
0.0850636,	0.0476776,	0.0700991,	0.104642
0.08454,	0.0476177,	0.0696594,	0.10368
0.0843712,	0.0477453,	0.0695909,	0.10327
0.0843223,	0.0479617,	0.0696467,	0.103073
0.0843852,	0.0482927,	0.0698406,	0.103118
0.0844978,	0.0486328,	0.0701093,	0.103289
0.0846623,	0.049036,	0.0704721,	0.103632
0.0848325,	0.0493552,	0.07086,	0.103955
0.0849938,	0.049679,	0.0712857,	0.104349
0.0851067,	0.0498393,	0.0716419,	0.104672
0.085513,	0.0511595,	0.072696,	0.105446
0.0851212,	0.050378,	0.0735787,	0.104669
0.0868446,	0.0526831,	0.0730673,	0.107626
0.0846777,	0.0500331,	0.0743339,	0.105233
0.0865621,	0.0518819,	0.0727064,	0.108949
0.0842796,	0.0502906,	0.0726445,	0.109825
0.0824872,	0.0462782,	0.0754476,	0.101821
0.0843055,	0.0471753,	0.073738,	0.104034
0.0841535,	0.0472128,	0.0737744,	0.104076
0.0839757,	0.0472119,	0.0737398,	0.103965
0.083845,	0.0473114,	0.0736291,	0.103894
0.0837538,	0.0474493,	0.0734721,	0.103808
0.0835719,	0.0475434,	0.0731921,	0.103573
0.0833175,	0.0477875,	0.0728819,	0.103084
0.0828309,	0.0476039,	0.0722911,	0.102193
