rho,	rhou,	rhov,	rhoet
0.040151,	0.0214031,	0.0333234,	0.0459931
0.04037,	0.0202916,	0.0317844,	0.044821
0.0398986,	0.0212295,	0.0314511,	0.0453246
0.0395442,	0.0209111,	0.0301872,	0.0443122
0.0389405,	0.0209465,	0.0293267,	0.0444037
0.0383072,	0.0210817,	0.0287838,	0.0442618
0.0377281,	0.0210016,	0.0281753,	0.0438026
0.037021,	0.0211698,	0.0276264,	0.0448972
0.0370513,	0.0218208,	0.0282123,	0.045346
0.0362308,	0.0207852,	0.0272331,	0.0433328
0.0354406,	0.020591,	0.0265771,	0.0426629
0.0345891,	0.0203329,	0.0258762,	0.0421318
0.0337944,	0.0199975,	0.0251394,	0.0414734
0.0330323,	0.0195766,	0.0246161,	0.0406635
0.0322417,	0.0192865,	0.0240562,	0.0398449
0.031572,	0.019037,	0.0234593,	0.039336
0.0311591,	0.0192186,	0.0231587,	0.0398146
0.0303352,	0.0187831,	0.0225599,	0.0389966
0.0296726,	0.0181647,	0.0220266,	0.0375913
0.0287143,	0.0177454,	0.021694,	0.0367335
0.0277207,	0.0172634,	0.0208663,	0.03574
0.0267653,	0.0167674,	0.0201038,	0.0346772
0.0259112,	0.016385,	0.0193986,	0.0336155
0.0250784,	0.0159944,	0.0187136,	0.0327707
0.0242705,	0.0157188,	0.0180713,	0.0319714
0.0234358,	0.0180859,	0.0175653,	0.0310754
0.0226589,	0.0161984,	0.016908,	0.0302059
0.0226311,	0.0155576,	0.0163909,	0.0293374
0.0228083,	0.0160892,	0.0158767,	0.0282694
0.0270625,	0.019578,	0.0153355,	0.0293512
0.0244925,	0.0179515,	0.0152741,	0.0308683
0.0286699,	0.020852,	0.015888,	0.0314614
0.0262944,	0.0184569,	0.0167823,	0.0280365
0.0300695,	0.022066,	0.0156004,	0.0332616
0.0281573,	0.0200804,	0.0213113,	0.0309714
0.0287729,	0.0197152,	0.0173499,	0.0333019
0.0294779,	0.0209699,	0.0188303,	0.0330453
0.0320865,	0.0237986,	0.0188942,	0.0359677
0.0314255,	0.0229755,	0.0186377,	0.036454
0.0330086,	0.0244781,	0.0196926,	0.0371153
0.0348841,	0.0263354,	0.0208809,	0.0418176
0.0342107,	0.0256764,	0.0242772,	0.0392667
0.0365003,	0.0277602,	0.0221486,	0.0445298
0.0347196,	0.0257379,	0.0253972,	0.0408832
0.0381413,	0.0293584,	0.0250532,	0.0474683
0.0389134,	0.0302732,	0.0225436,	0.0480666
0.0366268,	0.0261752,	0.0265909,	0.0417709
0.0412772,	0.0329731,	0.0237494,	0.0533574
0.0371038,	0.028263,	0.026553,	0.0456565
0.0408432,	0.0328771,	0.0226607,	0.0540146
0.0421808,	0.033457,	0.0244897,	0.0541616
0.0380999,	0.0288132,	0.0252757,	0.0465367
0.0405658,	0.0318952,	0.0227342,	0.0510078
0.0402232,	0.0280473,	0.023213,	0.0390258
0.031449,	0.0269712,	0.02067,	0.0545789
0.0305702,	0.0190066,	0.0231505,	0.0355723
0.0313158,	0.0199871,	0.0202778,	0.0432766
0.0268244,	0.0174107,	0.0245324,	0.0339052
0.0257701,	0.0163544,	0.0196624,	0.0329818
0.0248442,	0.0156692,	0.0192852,	0.0319959
0.0239273,	0.0150049,	0.0188377,	0.0309061
0.0230314,	0.0147537,	0.018228,	0.0301499
0.0221595,	0.0152573,	0.0178773,	0.0293129
0.0213132,	0.0154673,	0.0175223,	0.0284727
0.0240353,	0.0189413,	0.0167399,	0.02724
0.0230173,	0.017956,	0.0163078,	0.0259036
0.0236983,	0.0185136,	0.0159094,	0.0278094
0.0242756,	0.0189625,	0.0152293,	0.0282732
0.0269091,	0.0221019,	0.0159942,	0.0334089
0.0253704,	0.0197195,	0.0166909,	0.0301788
0.0296153,	0.024764,	0.0158333,	0.0365615
0.0269002,	0.0193635,	0.016492,	0.0300903
0.0275371,	0.0197566,	0.0171271,	0.031048
0.028108,	0.0202082,	0.0177057,	0.0320547
0.028549,	0.0206174,	0.018182,	0.0330026
0.0290875,	0.0209765,	0.0186516,	0.0338706
0.0295758,	0.0213124,	0.0192841,	0.0347105
0.0299966,	0.0215338,	0.0198784,	0.0352944
0.0303565,	0.0217254,	0.0204697,	0.0359463
0.0305749,	0.0217488,	0.0208443,	0.0362797
0.030634,	0.0215964,	0.0211776,	0.0363895
0.0306647,	0.0214532,	0.021467,	0.0364922
0.030826,	0.0215316,	0.0214392,	0.0369946
0.0310659,	0.0217053,	0.0216012,	0.0375441
0.0311997,	0.0217755,	0.02195,	0.0379496
0.0312434,	0.0217605,	0.0222848,	0.0382312
0.0312093,	0.021674,	0.0225653,	0.0384052
0.0311101,	0.0215328,	0.0227963,	0.0384835
0.0309977,	0.0213505,	0.0229869,	0.0384167
0.030871,	0.021161,	0.0230743,	0.0382799
0.0309447,	0.0211169,	0.0232284,	0.0383781
0.030821,	0.0209101,	0.0232873,	0.0382622
0.0304787,	0.020672,	0.0229274,	0.0382923
0.0306763,	0.020851,	0.0228173,	0.0387039
0.0301096,	0.0203863,	0.0229135,	0.0381993
0.0293427,	0.0199203,	0.0226434,	0.037606
0.0285535,	0.0193622,	0.0222832,	0.0368553
0.0278837,	0.0187678,	0.0218635,	0.0360164
0.0271823,	0.0181405,	0.0213987,	0.0350954
0.02646,	0.0174739,	0.0208795,	0.0341018
0.0257294,	0.0170261,	0.020364,	0.0335523
0.0250367,	0.0166325,	0.0199862,	0.032955
0.0243302,	0.0175761,	0.0195968,	0.0322997
0.0236084,	0.0171726,	0.0191764,	0.0315855
0.0255964,	0.0208891,	0.0187306,	0.0308237
0.0262766,	0.0211573,	0.0182312,	0.0309533
0.0269797,	0.0218371,	0.0177521,	0.0323214
0.0237117,	0.0182885,	0.0175962,	0.0289649
0.0288505,	0.0247095,	0.0167547,	0.0371646
0.0293429,	0.0221618,	0.0173211,	0.0333526
0.03093,	0.0224779,	0.0191271,	0.0346018
0.0316769,	0.023314,	0.0188611,	0.0369236
0.0326737,	0.0240428,	0.0185302,	0.0372534
0.0313455,	0.0233014,	0.0188224,	0.0355809
