rho,	rhou,	rhov,	rhoet
0.0258069,	0.0239089,	0.0115888,	0.0287876
0.0257058,	0.0238067,	0.0115529,	0.0286867
0.0257139,	0.0237992,	0.0115221,	0.0286417
0.025679,	0.0237774,	0.0115153,	0.0286209
0.0256286,	0.0237304,	0.0115006,	0.0285673
0.0255482,	0.0236521,	0.0114734,	0.0284828
0.0254982,	0.0236117,	0.0114323,	0.0283873
0.0254766,	0.023595,	0.0114265,	0.028398
0.0254389,	0.0235648,	0.0114139,	0.0283581
0.0253713,	0.0235068,	0.0113912,	0.0282896
0.0252822,	0.0234101,	0.0113568,	0.028192
0.0252916,	0.0234047,	0.011331,	0.0281541
0.025262,	0.0233854,	0.0113273,	0.0281443
0.0252068,	0.0233365,	0.011312,	0.0280953
0.0251249,	0.0232595,	0.0112839,	0.0279997
0.0250867,	0.0232282,	0.011245,	0.0279286
0.0250761,	0.023212,	0.0112425,	0.027929
0.0250368,	0.0231699,	0.0112265,	0.0278836
0.02496,	0.0231018,	0.0112037,	0.0278121
0.0248946,	0.0230328,	0.0111677,	0.0276932
0.0248937,	0.0230345,	0.0111538,	0.0277001
0.0248539,	0.0230064,	0.0111483,	0.0276843
0.0247917,	0.0229401,	0.0111268,	0.0276196
0.0246964,	0.0228451,	0.011091,	0.0274996
0.0246962,	0.0228557,	0.0110719,	0.0274819
0.0246818,	0.0228228,	0.0110609,	0.0274581
0.0246218,	0.0227744,	0.0110458,	0.0274112
0.0245176,	0.0226753,	0.0110151,	0.0273162
0.0245101,	0.0226589,	0.0109806,	0.0272627
0.0244845,	0.0226537,	0.0109799,	0.0272443
0.0244409,	0.0225924,	0.0109618,	0.0271911
0.0243471,	0.0225006,	0.0109302,	0.027092
0.0243149,	0.0224734,	0.0108957,	0.027043
0.0242976,	0.0224512,	0.0108902,	0.0270114
0.0242409,	0.0224106,	0.0108757,	0.0269616
0.0241426,	0.022286,	0.0108433,	0.0268483
0.0241238,	0.0222818,	0.0108057,	0.0268053
0.0240895,	0.0222562,	0.0108002,	0.0267857
0.0240292,	0.0221819,	0.0107818,	0.0267019
0.0239152,	0.0220816,	0.0107448,	0.026563
0.0238997,	0.0220828,	0.0107078,	0.0265748
0.0238776,	0.022037,	0.0107044,	0.0265245
0.0237643,	0.0218997,	0.0106789,	0.0263966
0.0236944,	0.0218855,	0.0106129,	0.0263281
0.0236851,	0.0218567,	0.0106149,	0.0262917
0.0235986,	0.0217502,	0.0105948,	0.0262123
0.0234759,	0.021663,	0.0105371,	0.0260492
0.0234649,	0.0216376,	0.0105093,	0.0260553
0.023387,	0.0215572,	0.0104954,	0.0259804
0.0232112,	0.021432,	0.010447,	0.0257733
0.0232178,	0.0214282,	0.0104058,	0.0257785
0.023152,	0.0213435,	0.0103971,	0.0257068
0.0229738,	0.0211801,	0.0103476,	0.0254841
0.0229749,	0.0211707,	0.0102892,	0.0254692
0.0229035,	0.0210868,	0.0102776,	0.0253899
0.022691,	0.0209305,	0.0102258,	0.0251674
0.022687,	0.0209155,	0.0101761,	0.0251717
0.0226071,	0.0208034,	0.0101614,	0.0250836
0.0224345,	0.0206452,	0.0100941,	0.0248522
0.0224231,	0.0206277,	0.0100439,	0.0248356
0.0223144,	0.0205092,	0.0100203,	0.0246972
0.022157,	0.0203939,	0.0099476,	0.0245062
0.0221133,	0.0203429,	0.00992268,	0.0244797
0.0219545,	0.0201669,	0.00988819,	0.024328
0.0218456,	0.0201075,	0.0097999,	0.0241923
0.0217846,	0.0200114,	0.00979055,	0.0241176
0.0216077,	0.0198249,	0.00972915,	0.0238812
0.0215547,	0.0197811,	0.00967059,	0.023849
0.0214541,	0.0196742,	0.00963806,	0.0237035
0.0212174,	0.019527,	0.00955738,	0.0233967
0.0212321,	0.0194755,	0.00942939,	0.0234521
0.0210648,	0.0193026,	0.00946478,	0.0232467
0.0207373,	0.0189446,	0.0093739,	0.0228803
0.020692,	0.01902,	0.00917858,	0.0227213
0.0206132,	0.0188673,	0.00910325,	0.0226617
0.0202682,	0.0184633,	0.0090767,	0.0222901
0.0197331,	0.0181588,	0.00891954,	0.0216117
0.0197897,	0.0181362,	0.00864316,	0.021598
0.0195905,	0.0178591,	0.00858443,	0.021374
0.0191416,	0.0173475,	0.00849782,	0.0208576
0.0185734,	0.0170425,	0.00830026,	0.0201155
0.0185373,	0.016917,	0.00800692,	0.0200625
0.0182742,	0.0165782,	0.00792303,	0.0197487
0.017809,	0.0160523,	0.00781443,	0.0192013
0.0171899,	0.015692,	0.00762401,	0.0184798
0.0171003,	0.0155404,	0.00735859,	0.0183367
0.0168512,	0.0152205,	0.00720941,	0.0180318
0.0164584,	0.0147718,	0.00711954,	0.0175664
0.0159363,	0.0142735,	0.00696332,	0.0169547
0.0156213,	0.0141492,	0.00675986,	0.0166
0.0154506,	0.0139139,	0.00651025,	0.0163846
0.0151555,	0.013565,	0.00645086,	0.0160296
0.0147739,	0.0131427,	0.00634867,	0.0155817
0.0143109,	0.0128188,	0.00620329,	0.0150442
0.0140921,	0.0126692,	0.00602895,	0.0148239
0.0139185,	0.0124443,	0.0058247,	0.0146085
0.0136611,	0.0121444,	0.00576581,	0.0143009
0.0133441,	0.011795,	0.00568049,	0.0139305
0.0129759,	0.0114848,	0.00556695,	0.0135063
0.0127088,	0.0113631,	0.00543036,	0.0132486
0.012572,	0.0111828,	0.00527579,	0.0130771
0.0123799,	0.0109546,	0.00516918,	0.0128468
0.0121397,	0.0106855,	0.0051092,	0.0125654
0.0118624,	0.0103868,	0.00502889,	0.0122459
0.0115536,	0.0102188,	0.00493148,	0.0118939
0.0113875,	0.0100958,	0.00481892,	0.0117541
0.0112596,	0.00993476,	0.00469491,	0.0115971
0.0110937,	0.00974109,	0.00460841,	0.0113999
0.0108988,	0.00952417,	0.0045591,	0.0111735
0.010676,	0.00928475,	0.00449502,	0.0109183
0.010432,	0.00912794,	0.00441945,	0.0106416
0.0102462,	0.00902752,	0.00433266,	0.0104848
0.0101467,	0.00890052,	0.00423885,	0.010362
0.0100211,	0.0087515,	0.00413705,	0.0102122
0.0098724,	0.00858355,	0.00409495,	0.0100388
0.00970556,	0.0084017,	0.00404988,	0.00984767
0.00951871,	0.00820324,	0.00399469,	0.00963525
0.00932107,	0.00811446,	0.00393253,	0.0094132
0.00918494,	0.00802479,	0.00386253,	0.00931065
0.00909706,	0.0079154,	0.00378871,	0.00920335
0.00899364,	0.0077937,	0.00370847,	0.00908088
0.0088737,	0.00765867,	0.00366256,	0.00894178
0.00874035,	0.00751305,	0.00362714,	0.00878924
0.00859251,	0.00735556,	0.00358382,	0.00862147
0.00843811,	0.00725053,	0.00353647,	0.00844845
0.00827091,	0.00717979,	0.00348264,	0.00831283
0.00820152,	0.00709372,	0.00342654,	0.0082291
0.00812382,	0.00700033,	0.00336501,	0.00813636
0.00803265,	0.00689569,	0.00330162,	0.00802974
0.00793126,	0.00678295,	0.00326469,	0.00791293
0.0078207,	0.0066632,	0.00323412,	0.0077871
0.0077008,	0.00653595,	0.00319882,	0.00765161
0.00757528,	0.0064441,	0.00316016,	0.00751107
0.00744316,	0.00638293,	0.00311792,	0.00738094
0.00735415,	0.00631194,	0.00307287,	0.00731161
0.00729065,	0.00623575,	0.00302529,	0.00723587
0.00721773,	0.00615161,	0.00297512,	0.00715034
0.00713719,	0.00606148,	0.00292279,	0.00705728
0.00704893,	0.00596509,	0.00289549,	0.0069563
0.00695641,	0.00586615,	0.00286884,	0.00685182
0.00685631,	0.00576074,	0.00283851,	0.00673906
0.00675424,	0.00568635,	0.00280671,	0.00662529
0.00664688,	0.00563172,	0.0027718,	0.00650662
0.00655008,	0.00557137,	0.00273552,	0.00644696
0.00649535,	0.00550671,	0.00269652,	0.006382
0.00643336,	0.00543584,	0.0026571,	0.00630937
0.0063677,	0.00536265,	0.00261485,	0.00623372
0.00629508,	0.00528343,	0.00257319,	0.00615051
0.00622065,	0.00520376,	0.00254844,	0.0060665
0.00614067,	0.00511938,	0.00252415,	0.00597646
0.00605848,	0.00503374,	0.00249859,	0.00588458
0.00597272,	0.00496529,	0.00247088,	0.00578914
0.0058862,	0.00491547,	0.00244232,	0.00569367
0.00579562,	0.00486358,	0.00241166,	0.00562173
0.00572536,	0.00480647,	0.00238045,	0.00556323
0.00567299,	0.00474768,	0.00234744,	0.00550255
0.00561579,	0.00468478,	0.00231458,	0.00543674
0.00555698,	0.00462129,	0.00228014,	0.00537003
0.00549413,	0.00455444,	0.00224524,	0.00529906
0.00542881,	0.00448591,	0.00221407,	0.00522582
0.00536191,	0.00441653,	0.00219283,	0.00515132
0.00529239,	0.00434507,	0.00217028,	0.00507405
0.00522206,	0.00427359,	0.00214683,	0.0049965
0.00514971,	0.0042224,	0.00212232,	0.0049169
0.00507616,	0.00417576,	0.00209687,	0.00483628
0.00500169,	0.00412667,	0.00207063,	0.00476783
0.00492751,	0.00407569,	0.00204416,	0.00471436
0.0048709,	0.00402378,	0.00201643,	0.00465966
0.00481945,	0.00396929,	0.00198857,	0.0046017
0.00476659,	0.00391405,	0.00196053,	0.00454267
0.00471245,	0.00385813,	0.00193198,	0.00448267
0.00465648,	0.00380089,	0.00190301,	0.00442089
0.00459892,	0.00374254,	0.00187431,	0.0043576
0.00454057,	0.00368387,	0.00184565,	0.00429373
0.00448056,	0.00362388,	0.00182503,	0.00422808
0.00442121,	0.00356521,	0.00180421,	0.00416384
0.00435991,	0.00350485,	0.00178259,	0.00409736
0.00429846,	0.00345426,	0.00176045,	0.00403108
0.0042367,	0.00341044,	0.00173801,	0.00396475
0.00417405,	0.00336564,	0.00171494,	0.00389756
0.00411138,	0.00331957,	0.00169166,	0.00383572
0.00404913,	0.00327285,	0.00166834,	0.00378525
0.00398643,	0.00322595,	0.00164465,	0.00373445
0.00392713,	0.00317818,	0.00162096,	0.00368248
0.0038787,	0.00313041,	0.00159679,	0.00363039
0.00382872,	0.00308136,	0.00157268,	0.00357663
0.00377852,	0.00303256,	0.00154852,	0.00352302
0.00372745,	0.00298318,	0.00152449,	0.00346859
0.00367637,	0.00293419,	0.00150029,	0.00341449
0.00362428,	0.00288441,	0.00147631,	0.0033593
0.00357208,	0.00283477,	0.00145225,	0.00330415
0.00351988,	0.00278549,	0.00142828,	0.0032493
0.00346727,	0.00273606,	0.00140424,	0.00319412
0.00341432,	0.00268656,	0.00138225,	0.00313871
0.00336173,	0.00263777,	0.00136228,	0.00308403
0.00330874,	0.00258881,	0.00134203,	0.00302901
0.00325553,	0.00254205,	0.00132159,	0.0029739
0.00320304,	0.00250102,	0.0013013,	0.00291994
0.00315008,	0.00246022,	0.00128071,	0.00286549
0.00309773,	0.00241894,	0.00126025,	0.00281198
