rho,	rhou,	rhov,	rhoet
0.109516,	0.0546615,	0.108567,	0.132521
0.112181,	0.0592298,	0.101597,	0.140456
0.102874,	0.0557663,	0.091109,	0.132149
0.0920102,	0.0490334,	0.0826551,	0.119492
0.0821848,	0.0452059,	0.0726824,	0.10922
0.071324,	0.0387113,	0.0646739,	0.0962311
0.062373,	0.0352074,	0.0555329,	0.085144
0.0610794,	0.039037,	0.0488491,	0.0747831
0.0649716,	0.0398102,	0.0534075,	0.0790267
0.0672945,	0.041124,	0.0563937,	0.0838281
0.067566,	0.040044,	0.0589932,	0.0857939
0.0658797,	0.0383229,	0.0588502,	0.0846192
0.0634419,	0.0362473,	0.0579719,	0.0832945
0.0592888,	0.033031,	0.0560508,	0.0792909
0.0554097,	0.0330628,	0.0525547,	0.0746918
0.0528955,	0.0352883,	0.0495316,	0.0699301
0.0573292,	0.0379036,	0.0456941,	0.0692314
0.0602226,	0.0386934,	0.0497775,	0.0740456
0.0614878,	0.0389347,	0.0519915,	0.0764904
0.0621483,	0.038543,	0.0539722,	0.0789623
0.0608184,	0.0367853,	0.0546722,	0.0787382
0.0594187,	0.0352999,	0.0538583,	0.0775889
0.0567286,	0.0331971,	0.053029,	0.0756163
0.0534421,	0.0330914,	0.0509113,	0.0719199
0.0522619,	0.0357287,	0.0482641,	0.0682513
0.0554528,	0.0368624,	0.0454758,	0.0673968
0.0580464,	0.0383376,	0.0475699,	0.0715031
0.0595873,	0.0384788,	0.0506434,	0.0748462
0.0597706,	0.0378576,	0.0520736,	0.0757225
0.0594913,	0.0370464,	0.0528627,	0.0768668
0.0577102,	0.0352785,	0.0529366,	0.0760507
0.0558238,	0.0333516,	0.0516325,	0.0739539
0.0530438,	0.0334809,	0.0504261,	0.0717002
0.0513821,	0.0352345,	0.0482427,	0.0682025
0.0545926,	0.0372817,	0.0454611,	0.0665103
0.0570895,	0.0381382,	0.0473422,	0.0708899
0.058257,	0.0383594,	0.0495927,	0.0730313
0.0590452,	0.0381842,	0.0513216,	0.0754712
0.0582412,	0.0369331,	0.0523137,	0.0759096
0.0573342,	0.0357185,	0.0520589,	0.0752728
0.0552557,	0.0339482,	0.0516786,	0.0740284
0.0526155,	0.033579,	0.0501651,	0.0713026
0.0510588,	0.0359076,	0.0481351,	0.0682467
0.05446,	0.0375141,	0.0458114,	0.0669271
0.0562941,	0.0383154,	0.0471081,	0.0703043
0.0580705,	0.0388236,	0.0494354,	0.073547
0.058212,	0.0381761,	0.0512823,	0.0752107
0.0579886,	0.0374627,	0.0518248,	0.0756382
0.0566051,	0.0360205,	0.0521934,	0.0753664
0.0543365,	0.0339189,	0.0513311,	0.0734454
0.0518065,	0.034506,	0.0497888,	0.0709745
0.0519101,	0.0367566,	0.0478316,	0.0678581
0.0544809,	0.0380772,	0.0451387,	0.0677023
0.0568649,	0.0391553,	0.0476767,	0.0716555
0.057761,	0.039045,	0.0501732,	0.0742888
0.0579786,	0.0386674,	0.0514156,	0.0755923
0.0570787,	0.0374887,	0.0522745,	0.0759868
0.0550028,	0.0355634,	0.0518633,	0.0746507
0.0523349,	0.033781,	0.0504145,	0.0721576
0.0500066,	0.0362788,	0.048572,	0.0691427
0.0532269,	0.0382189,	0.0459779,	0.0658669
0.0560179,	0.0395692,	0.0467705,	0.0707519
0.0572452,	0.0397348,	0.0495566,	0.0738383
0.0575854,	0.0394348,	0.051443,	0.0758462
0.0566855,	0.0382365,	0.0522873,	0.0762326
0.0545929,	0.036218,	0.0518523,	0.0748687
0.0515924,	0.0356683,	0.0502805,	0.0720037
0.0514783,	0.0373471,	0.0477642,	0.0679234
0.053748,	0.0392866,	0.0461247,	0.0691291
0.0560344,	0.0404001,	0.0484802,	0.0723833
0.0569258,	0.040362,	0.0505989,	0.0751621
0.0563886,	0.039277,	0.0518542,	0.076135
0.0546868,	0.0373934,	0.0518907,	0.0754298
0.0521258,	0.0363593,	0.0507878,	0.0731924
0.0512519,	0.0385809,	0.0487017,	0.0696647
0.0536741,	0.0397312,	0.0468821,	0.0697087
0.0552735,	0.041004,	0.0487311,	0.0729544
0.0562958,	0.0410565,	0.050474,	0.0746549
0.05594,	0.0400397,	0.0510934,	0.0755218
0.0543889,	0.0381566,	0.0511488,	0.074816
0.0518432,	0.037463,	0.0500782,	0.0724896
0.0513523,	0.0394745,	0.0479873,	0.068842
0.0535586,	0.0407552,	0.0476856,	0.0705425
0.0548748,	0.0410179,	0.0484828,	0.0731966
0.0549551,	0.0405477,	0.0502359,	0.0748393
0.0541317,	0.039455,	0.0507975,	0.0747832
0.0526177,	0.0377518,	0.0502173,	0.0731516
0.0506137,	0.0387806,	0.0486186,	0.0701494
0.0518739,	0.0397427,	0.0463867,	0.0699987
0.0527196,	0.0408893,	0.0481163,	0.071681
0.0538376,	0.0409676,	0.0488662,	0.0720103
0.053716,	0.0400433,	0.0489495,	0.0732473
0.0524698,	0.0382437,	0.0492809,	0.0727907
0.0502851,	0.0385992,	0.0485022,	0.0707977
0.0506657,	0.0395362,	0.0467658,	0.0675465
0.0517253,	0.0395693,	0.0462896,	0.0702012
0.0517302,	0.0400149,	0.0477975,	0.0715027
0.0518099,	0.0398264,	0.0482944,	0.0714276
0.0514592,	0.0386714,	0.0478136,	0.0700124
0.0500788,	0.0371778,	0.0467411,	0.0691605
0.0481816,	0.0387743,	0.0458098,	0.0669132
0.0499736,	0.039434,	0.0440339,	0.0668023
0.0506875,	0.0391567,	0.0453942,	0.0690167
0.0503844,	0.0382396,	0.0465435,	0.0697765
0.0492017,	0.0378269,	0.0467024,	0.0691701
0.0484944,	0.0365381,	0.0459322,	0.0672908
0.0471002,	0.0368602,	0.0443448,	0.0644852
0.0470386,	0.0380959,	0.0425715,	0.0622304
0.0484175,	0.0383995,	0.0419107,	0.0648187
0.0487767,	0.0378088,	0.0436294,	0.0663904
0.0482121,	0.0365175,	0.0444093,	0.0666244
0.0468521,	0.0353085,	0.0442735,	0.0655788
0.0451605,	0.0340224,	0.0433029,	0.0633961
0.0438891,	0.0357346,	0.0416149,	0.0602544
0.0451007,	0.0366013,	0.0393496,	0.0592778
0.0461105,	0.0365936,	0.0398005,	0.0615898
0.046204,	0.0358013,	0.0411373,	0.0626295
0.0454903,	0.0343897,	0.0416291,	0.0624648
0.0440847,	0.0325673,	0.0413155,	0.0611792
0.0421119,	0.0325492,	0.0402805,	0.0589187
0.0409305,	0.0339186,	0.038635,	0.0558516
0.0425249,	0.0344924,	0.0365051,	0.0556744
0.0432797,	0.0342865,	0.0371018,	0.0574616
0.0432407,	0.0334222,	0.0381623,	0.0581529
0.0425115,	0.0320179,	0.0384918,	0.0577958
0.0411907,	0.0301849,	0.0381346,	0.0564864
0.0393881,	0.0305287,	0.0371675,	0.0543589
0.0381842,	0.0316233,	0.0356865,	0.05156
0.0395324,	0.0320203,	0.0337987,	0.0513826
0.040159,	0.0317515,	0.0340455,	0.0528376
0.040118,	0.0309275,	0.0349482,	0.0533657
0.0394906,	0.0296425,	0.0352372,	0.0530106
0.0383589,	0.0279931,	0.0349511,	0.0518579
0.0368143,	0.0281351,	0.0341532,	0.0500209
0.035103,	0.0290647,	0.0329214,	0.047621
0.0363198,	0.0294004,	0.0313419,	0.046743
0.0369296,	0.0291775,	0.0308305,	0.0480351
0.036984,	0.0284844,	0.0316759,	0.0485577
0.036542,	0.0273971,	0.0320163,	0.0483481
0.0356684,	0.0259952,	0.03188,	0.0474739
0.0344347,	0.0255463,	0.0313143,	0.0460229
0.0329134,	0.0264055,	0.0303787,	0.0440924
0.033023,	0.0267695,	0.0291394,	0.0420068
0.0336934,	0.0266668,	0.0276646,	0.0432586
0.0339048,	0.0261645,	0.02845,	0.0438821
0.0336964,	0.0253213,	0.0288968,	0.0439038
0.0331162,	0.0242003,	0.0289518,	0.043372
0.0322179,	0.0228889,	0.0286464,	0.0423501
0.0310582,	0.0237439,	0.028023,	0.0409121
0.0297178,	0.0241921,	0.0271298,	0.039135
0.0304921,	0.0242516,	0.0260182,	0.0386121
0.0308883,	0.0239702,	0.0253168,	0.0393901
0.0309306,	0.023391,	0.0258913,	0.0396777
0.0306521,	0.0225619,	0.026147,	0.0395051
0.030091,	0.021532,	0.0261021,	0.0389149
0.0292888,	0.0211258,	0.0257834,	0.0379586
0.0282876,	0.0216831,	0.0252241,	0.0366932
