rho,	rhou,	rhov,	rhoet
0.130547,	0.0857178,	0.0808375,	0.137833
0.129374,	0.0848234,	0.0799639,	0.136317
0.128225,	0.0839281,	0.0791196,	0.134847
0.127084,	0.0830054,	0.0782983,	0.133395
0.12594,	0.0820664,	0.0774915,	0.131939
0.124797,	0.0811237,	0.0766959,	0.130485
0.123665,	0.080192,	0.0759096,	0.129038
0.122547,	0.0792758,	0.0751299,	0.127603
0.121452,	0.0783951,	0.0743603,	0.126196
0.120387,	0.0775556,	0.0736037,	0.124828
0.119355,	0.076761,	0.0728639,	0.123508
0.118359,	0.076009,	0.0721444,	0.122244
0.117396,	0.0752818,	0.0714456,	0.12103
0.116456,	0.074574,	0.0707675,	0.119857
0.115534,	0.0738719,	0.0701092,	0.118717
0.114619,	0.0731497,	0.0694665,	0.117592
0.113706,	0.0723932,	0.0688367,	0.116465
0.112789,	0.0716246,	0.0682134,	0.115329
0.111874,	0.07086,	0.0675953,	0.114191
0.110969,	0.0701095,	0.0669824,	0.113059
0.110077,	0.069379,	0.066375,	0.11194
0.109204,	0.0686771,	0.0657754,	0.110844
0.108355,	0.0680085,	0.0651863,	0.10978
0.107533,	0.0673757,	0.0646106,	0.108758
0.106737,	0.0667693,	0.0640491,	0.107773
0.10596,	0.0661791,	0.0635014,	0.106818
0.105199,	0.0655994,	0.062967,	0.105888
0.104453,	0.0650297,	0.0624469,	0.104987
0.103717,	0.0644618,	0.0619391,	0.104105
0.102986,	0.0638921,	0.0614405,	0.103232
0.102259,	0.0633162,	0.0609496,	0.102365
0.101537,	0.0627377,	0.0604662,	0.101505
0.100818,	0.0621603,	0.0599871,	0.100645
0.100103,	0.0615721,	0.0595121,	0.099785
0.0993921,	0.0609754,	0.0590389,	0.09892
0.0986898,	0.0603927,	0.0585691,	0.0980636
0.0979994,	0.0598284,	0.0581041,	0.0972198
0.0973225,	0.0592827,	0.0576452,	0.0963923
0.0966604,	0.0587551,	0.0571938,	0.0955839
0.0960129,	0.0582437,	0.0567507,	0.0947952
0.0953789,	0.0577462,	0.0563161,	0.0940267
0.09476,	0.0572612,	0.0558915,	0.0932833
0.0941499,	0.0567815,	0.0554749,	0.0925532
0.0935471,	0.0563062,	0.055066,	0.0918347
0.0929505,	0.0558354,	0.054664,	0.0911264
0.0923595,	0.0553694,	0.0542682,	0.0904273
0.0917765,	0.0549057,	0.0538794,	0.0897413
0.0911982,	0.0544467,	0.0534957,	0.0890646
0.0906251,	0.0539941,	0.0531163,	0.0883955
0.0900576,	0.0535486,	0.0527409,	0.087734
0.0894963,	0.053111,	0.0523696,	0.0870811
0.0889428,	0.0526739,	0.0520035,	0.0864384
0.0883948,	0.0522431,	0.0516411,	0.0858021
0.0878529,	0.0518201,	0.0512826,	0.0851732
0.0873183,	0.0514061,	0.0509284,	0.0845532
0.086794,	0.0509995,	0.0505799,	0.0839482
0.0862772,	0.0505942,	0.0502362,	0.083351
0.0857668,	0.0501951,	0.049897,	0.0827606
0.0852631,	0.0498025,	0.0495624,	0.0821777
0.0847661,	0.0494138,	0.0492323,	0.081602
0.084275,	0.0490255,	0.0489066,	0.0810325
0.0837905,	0.048645,	0.048585,	0.0804708
0.083314,	0.0482717,	0.0482679,	0.0799189
0.0828459,	0.0479007,	0.0479556,	0.079378
0.0823822,	0.0475287,	0.0476464,	0.0788401
0.0819224,	0.0471601,	0.0473404,	0.0783063
0.0814666,	0.046795,	0.0470376,	0.0777769
0.0810146,	0.0464312,	0.0467376,	0.0772511
0.0805662,	0.0460687,	0.0464403,	0.0767287
0.0801214,	0.0457112,	0.0461458,	0.0762112
0.0796827,	0.0453596,	0.045855,	0.0757042
0.0792491,	0.0450082,	0.0455681,	0.0752046
0.0788177,	0.0446561,	0.0452834,	0.0747065
0.0783883,	0.0443057,	0.045001,	0.0742105
0.0779606,	0.0439588,	0.044721,	0.073718
0.0775366,	0.0436173,	0.0444436,	0.0732305
0.0771165,	0.0432815,	0.0441688,	0.0727486
0.0767008,	0.0429512,	0.0438967,	0.0722723
0.0762896,	0.0426269,	0.0436275,	0.0718026
0.0758837,	0.0423033,	0.0433613,	0.0713396
0.0754831,	0.0419807,	0.0430981,	0.0708842
0.0750857,	0.0416617,	0.0428373,	0.0704332
0.0746909,	0.041346,	0.0425788,	0.0699853
0.0742991,	0.0410339,	0.0423226,	0.069541
0.0739105,	0.040726,	0.0420688,	0.0691007
0.0735254,	0.0404226,	0.0418174,	0.0686653
0.0731447,	0.0401252,	0.0415688,	0.0682368
0.0727681,	0.0398322,	0.0413228,	0.0678138
0.0723947,	0.0395429,	0.0410794,	0.0673958
0.0720262,	0.0392538,	0.0408389,	0.0669835
0.0716612,	0.0389676,	0.0406007,	0.0665754
0.0712995,	0.038686,	0.0403647,	0.0661715
0.0709434,	0.0384063,	0.0401319,	0.0657757
0.0705896,	0.0381277,	0.0399009,	0.0653819
0.0702382,	0.037852,	0.0396718,	0.0649905
0.0698896,	0.0375798,	0.0394447,	0.0646023
0.0695442,	0.0373117,	0.0392196,	0.064218
0.0692022,	0.0370478,	0.0389967,	0.0638379
0.0688637,	0.0367882,	0.0387759,	0.0634624
0.0685303,	0.0365334,	0.0385578,	0.0630947
0.0682001,	0.0362815,	0.0383418,	0.0627309
0.0678732,	0.0360278,	0.0381279,	0.06237
