rho,	rhou,	rhov,	rhoet
0.0816119,	0.0605994,	0.0582661,	0.0923861
0.0842111,	0.0663094,	0.0541308,	0.0957935
0.0825632,	0.0654968,	0.0520681,	0.0965905
0.0766008,	0.0609407,	0.0480495,	0.0907824
0.0725584,	0.0579652,	0.045584,	0.0867005
0.0663891,	0.0532715,	0.041438,	0.0802961
0.0611863,	0.0491537,	0.0387737,	0.0747563
0.0555733,	0.0446673,	0.0352056,	0.0683182
0.0506271,	0.0408486,	0.0322861,	0.0630598
0.0455711,	0.0365768,	0.0293,	0.0567572
0.0452228,	0.0381443,	0.0264717,	0.0523451
0.0483576,	0.0403473,	0.0270373,	0.0548145
0.0496831,	0.0414753,	0.0286336,	0.0570084
0.0512217,	0.0424694,	0.0299645,	0.0593694
0.0512494,	0.0420192,	0.0309273,	0.059725
0.0510179,	0.0419414,	0.0310572,	0.0602585
0.0499743,	0.0407768,	0.0313364,	0.0595784
0.0484253,	0.0393978,	0.0308718,	0.0581284
0.0466703,	0.037842,	0.0302469,	0.0566933
0.0442463,	0.0356118,	0.029397,	0.0541885
0.0421334,	0.0338932,	0.0280978,	0.0519769
0.0396386,	0.0328204,	0.0269884,	0.0494486
0.0412271,	0.0351888,	0.0255541,	0.0462833
0.043693,	0.0369651,	0.0240582,	0.0492251
0.0450975,	0.0381302,	0.0253659,	0.0513351
0.0466334,	0.0391744,	0.0266832,	0.0535931
0.0471282,	0.0392498,	0.0277257,	0.0545739
0.0473719,	0.0394372,	0.0282418,	0.0554253
0.0470169,	0.0389073,	0.0287865,	0.0555559
0.0461275,	0.0380046,	0.0287788,	0.0548618
0.0450752,	0.0370057,	0.028618,	0.0542255
0.0434204,	0.0354718,	0.0282084,	0.0527489
0.0417907,	0.0340082,	0.0274044,	0.0510773
0.0398816,	0.032389,	0.0266663,	0.0492778
0.0386456,	0.0329912,	0.0256231,	0.0469427
0.0409932,	0.0350471,	0.0244299,	0.0460854
0.0429133,	0.0364163,	0.0236858,	0.0486272
0.0442128,	0.0374668,	0.024906,	0.050609
0.0452733,	0.0381372,	0.0261409,	0.0523263
0.0454862,	0.0381534,	0.0269608,	0.0530161
0.0456257,	0.0381114,	0.0275089,	0.0537527
0.0450681,	0.0374394,	0.0278527,	0.0536191
0.0441168,	0.0365174,	0.0277379,	0.0529496
0.0429455,	0.0354158,	0.0275779,	0.0520941
0.0413031,	0.0339071,	0.0270745,	0.0505716
0.0395024,	0.0323266,	0.0262408,	0.0487828
0.0380925,	0.0322118,	0.0254318,	0.0469319
0.0395534,	0.0340356,	0.024378,	0.0449824
0.0416814,	0.0356833,	0.0235436,	0.047416
0.0430798,	0.036651,	0.0243007,	0.0494642
0.0440172,	0.0373561,	0.025475,	0.0512031
0.0444438,	0.0375206,	0.0264016,	0.0522353
0.0441819,	0.0370729,	0.0269022,	0.0524105
0.0434484,	0.0363687,	0.0271554,	0.0523177
0.042427,	0.0353414,	0.0271026,	0.0515812
0.040938,	0.0339076,	0.0266833,	0.0501854
0.0390194,	0.0320856,	0.0259118,	0.048161
0.0379728,	0.0325822,	0.0249266,	0.046053
0.0393963,	0.0339578,	0.0238725,	0.0455459
0.0409595,	0.0353534,	0.0237735,	0.0475553
0.0421802,	0.0362396,	0.0245724,	0.0492992
0.0427943,	0.0365781,	0.0254045,	0.0505538
0.0427915,	0.0363581,	0.0259322,	0.0510449
0.0421743,	0.0355698,	0.0261701,	0.0507414
0.0410545,	0.0343417,	0.0260307,	0.0497455
0.0394992,	0.0327354,	0.0255907,	0.0481193
0.0375768,	0.0322365,	0.0248719,	0.0461578
0.038325,	0.0332606,	0.0238968,	0.0449241
0.039311,	0.0340774,	0.0230408,	0.0465677
0.0400549,	0.0347827,	0.0239521,	0.0476892
0.0406009,	0.0349925,	0.024581,	0.0482405
0.0406071,	0.0347143,	0.0249114,	0.048365
0.0401015,	0.0339779,	0.0249402,	0.0480862
0.0391163,	0.0328096,	0.0246821,	0.0471498
0.0377268,	0.0312847,	0.024146,	0.0456328
0.0360114,	0.0309774,	0.0234066,	0.043624
0.0364115,	0.0320747,	0.0224563,	0.0423553
0.0374531,	0.03274,	0.0213138,	0.0439444
0.0380164,	0.032957,	0.0221088,	0.0449521
0.0380941,	0.0327189,	0.0226978,	0.0453427
0.0377205,	0.032066,	0.0229849,	0.0451369
0.0369416,	0.0310479,	0.0229753,	0.0443739
0.0358453,	0.0297886,	0.0226922,	0.0431745
0.0344654,	0.0282952,	0.0221585,	0.041552
0.032888,	0.0275579,	0.0214062,	0.0395644
0.0321598,	0.0284964,	0.0204729,	0.0372868
0.0330909,	0.0290472,	0.0193983,	0.0380749
0.033619,	0.0292154,	0.0187301,	0.0388736
0.0337492,	0.0290083,	0.01924,	0.039173
0.0335067,	0.0284541,	0.019513,	0.0389896
0.0329376,	0.0276044,	0.019558,	0.0383709
0.0320971,	0.0265272,	0.0193925,	0.0373871
0.0310493,	0.025304,	0.0190413,	0.0361251
0.0298257,	0.023947,	0.0185279,	0.0346074
0.0284715,	0.0231942,	0.0178808,	0.0328949
0.027021,	0.0237407,	0.0171272,	0.0310345
0.027573,	0.0240151,	0.0162948,	0.0310018
0.027903,	0.0240321,	0.0154093,	0.0314309
0.0279781,	0.0238141,	0.0153335,	0.0315471
0.0278109,	0.0233715,	0.0155217,	0.0313558
0.0274337,	0.02274,	0.0155695,	0.0308933
0.0268812,	0.0219581,	0.0154893,	0.0302012
0.0261986,	0.0210972,	0.0152979,	0.0293581
0.0254071,	0.0201603,	0.015009,	0.0283691
0.024532,	0.0191707,	0.0146383,	0.0272663
0.0235962,	0.0182651,	0.0142014,	0.0260806
0.0226205,	0.0185421,	0.0137132,	0.0248401
0.021719,	0.018667,	0.0131874,	0.0237664
0.0219465,	0.018652,	0.0126356,	0.0240055
0.0220346,	0.0185106,	0.0120688,	0.0240793
0.0219965,	0.018258,	0.0117359,	0.0240018
0.0218408,	0.017901,	0.0118134,	0.0237791
0.021582,	0.0174535,	0.0118232,	0.0234265
0.0212409,	0.0169453,	0.0117732,	0.022978
0.0208374,	0.0164047,	0.0116711,	0.0224648
0.0203811,	0.0158302,	0.0115232,	0.0218859
0.019884,	0.0152334,	0.0113363,	0.0212566
0.019356,	0.0146237,	0.0111169,	0.0205902
0.0188059,	0.0140089,	0.0108712,	0.0198979
0.0182412,	0.0138763,	0.0106045,	0.0191896
0.0176685,	0.0139172,	0.0103219,	0.0184735
0.0170929,	0.0138955,	0.0100278,	0.0177563
0.0167735,	0.0138177,	0.00972597,	0.0177605
0.0168003,	0.0136903,	0.00941935,	0.0177481
0.0167744,	0.013519,	0.00911068,	0.0176755
0.0166998,	0.0133077,	0.00880293,	0.0175464
0.016577,	0.013054,	0.00877233,	0.0173582
0.0164173,	0.0127834,	0.00876579,	0.0171405
0.0162262,	0.0124902,	0.00873593,	0.0168852
0.0160095,	0.0121806,	0.00868534,	0.0166
0.0157719,	0.0118596,	0.00861647,	0.0162911
0.0155172,	0.0115308,	0.00853159,	0.0159635
0.0152488,	0.0111973,	0.00843279,	0.0156212
0.0149694,	0.0108614,	0.00832202,	0.0152679
0.0146816,	0.0105253,	0.00820103,	0.0149065
0.0143874,	0.0101904,	0.00807143,	0.0145395
0.0140887,	0.0101206,	0.00793467,	0.0141692
0.0137872,	0.0101019,	0.00779208,	0.0137975
0.0134844,	0.0100606,	0.00764483,	0.013426
0.0131815,	0.0099989,	0.00749398,	0.0130563
0.0128798,	0.00991873,	0.00734049,	0.0128628
0.0126032,	0.00982205,	0.00718536,	0.0128254
0.0125818,	0.00971396,	0.00702912,	0.0127716
0.0125395,	0.00959307,	0.0068726,	0.0126993
0.0124785,	0.009456,	0.00671632,	0.0126036
0.012402,	0.00930686,	0.00656068,	0.0124895
0.0123123,	0.00914839,	0.00644188,	0.0123601
0.012211,	0.00898259,	0.00642493,	0.0122179
0.0120997,	0.00881106,	0.00639969,	0.012065
0.0119795,	0.00863511,	0.00636691,	0.0119029
0.0118517,	0.00845587,	0.00632728,	0.0117332
0.0117173,	0.00827431,	0.00628149,	0.0115572
0.0115772,	0.00809126,	0.00623018,	0.0113759
0.0114323,	0.00790745,	0.00617397,	0.0111904
0.0112833,	0.00772348,	0.00611339,	0.0110016
0.011131,	0.0075399,	0.00604896,	0.0108103
0.0109761,	0.00735714,	0.00598114,	0.0106171
0.0108189,	0.00717558,	0.00591035,	0.0104227
0.0106602,	0.00713226,	0.00583697,	0.0102276
0.0105002,	0.00709547,	0.00576134,	0.0100322
0.0103395,	0.0070511,	0.00568379,	0.00983698
0.0101783,	0.00700185,	0.00560461,	0.0096423
0.0100171,	0.00694881,	0.00552406,	0.0094485
0.00985615,	0.00689003,	0.00544239,	0.00925586
0.00969562,	0.0068262,	0.00535985,	0.00906461
0.00953805,	0.00675391,	0.00527704,	0.0089811
0.0093827,	0.00667486,	0.00519404,	0.00892538
0.00922912,	0.0065911,	0.00511093,	0.00886253
0.00907587,	0.00650386,	0.00502759,	0.00879398
0.00902264,	0.00641367,	0.00494407,	0.00872037
0.00896867,	0.00632079,	0.00486062,	0.008642
0.00891018,	0.00622555,	0.00477749,	0.00855923
0.00884754,	0.00612829,	0.00469492,	0.00847252
0.00878115,	0.00602945,	0.00461293,	0.00838238
0.00871142,	0.00592938,	0.00453152,	0.0082893
0.00863864,	0.00582836,	0.00448302,	0.00819362
0.00856308,	0.0057266,	0.00445466,	0.00809562
0.00848495,	0.00562427,	0.00442404,	0.00799554
0.00840452,	0.00552158,	0.00439134,	0.00789364
0.00832203,	0.00541872,	0.00435672,	0.00779019
0.00823774,	0.00531589,	0.00432035,	0.00768547
0.00815189,	0.00521329,	0.00428238,	0.00757974
0.0080647,	0.00511106,	0.00424298,	0.00747323
0.00797638,	0.00500936,	0.00420227,	0.00736615
0.00788711,	0.00490832,	0.00416038,	0.00725869
0.00779705,	0.00480803,	0.00411744,	0.00715102
0.00770637,	0.00470861,	0.00407355,	0.0070433
0.0076152,	0.00464073,	0.00402884,	0.00693565
0.00752364,	0.00460431,	0.0039834,	0.00682819
0.00743182,	0.00456585,	0.00393734,	0.00672103
0.00733986,	0.00452555,	0.00389073,	0.0066143
0.00724789,	0.00448356,	0.00384366,	0.00650812
0.00715601,	0.00444004,	0.00379621,	0.0064026
0.00706433,	0.00439511,	0.00374846,	0.00629785
0.00697294,	0.00434891,	0.00370048,	0.00619396
0.00688313,	0.00429941,	0.00365254,	0.00609359
0.00679435,	0.00424752,	0.00360463,	0.0059959
0.00670609,	0.00419423,	0.00355671,	0.00589986
0.0066182,	0.00414007,	0.0035088,	0.00580501
0.00653067,	0.0040853,	0.00346093,	0.00571118
0.00644359,	0.00403006,	0.00341313,	0.00561835
0.00635706,	0.00397446,	0.00336546,	0.00552653
0.00627117,	0.00391858,	0.00331795,	0.00543959
0.00618599,	0.00386248,	0.00327064,	0.00538522
0.00610159,	0.00380622,	0.00322358,	0.00533005
0.00601801,	0.00374987,	0.00317678,	0.00527417
0.00593528,	0.0036935,	0.00313029,	0.00521765
0.00585342,	0.00363715,	0.00308412,	0.00516057
0.00577277,	0.00358089,	0.00303835,	0.00510299
0.00569229,	0.0035248,	0.00299283,	0.00504504
0.00561197,	0.00346879,	0.00294763,	0.0049866
0.00553211,	0.00341282,	0.00290287,	0.00492764
0.00545296,	0.00335696,	0.00285858,	0.00486824
0.00537473,	0.00330129,	0.00281478,	0.00480853
0.00531923,	0.00324591,	0.00277147,	0.00474864
0.00526542,	0.00319088,	0.00272861,	0.00468868
0.0052113,	0.00313626,	0.00268619,	0.00462872
0.00515692,	0.00308208,	0.00264419,	0.00456882
0.00510232,	0.00302836,	0.00260259,	0.00450899
0.00504754,	0.0029751,	0.00256141,	0.00444927
0.00499258,	0.0029223,	0.00252064,	0.00438965
0.00493747,	0.00286996,	0.00248444,	0.00433015
