rho,	rhou,	rhov,	rhoet
0.172335,	0.149761,	0.130819,	0.208874
0.148845,	0.129053,	0.111976,	0.182647
0.132144,	0.114557,	0.0981314,	0.163087
0.119795,	0.103947,	0.0878126,	0.147975
0.110812,	0.0963145,	0.0801294,	0.136638
0.104227,	0.0907451,	0.0745481,	0.128197
0.0992501,	0.0865247,	0.0705205,	0.121818
0.0952971,	0.0831504,	0.0675422,	0.116812
0.0920032,	0.0803218,	0.0652256,	0.112699
0.0891645,	0.0778787,	0.0633175,	0.109186
0.0866724,	0.0757382,	0.0616694,	0.106112
0.0844665,	0.073853,	0.0602033,	0.103388
0.0825037,	0.0721861,	0.0588788,	0.100962
0.0807421,	0.0706987,	0.05767,	0.0987848
0.0791449,	0.0693567,	0.0565585,	0.0968164
0.0776805,	0.0681307,	0.055528,	0.0950188
0.0763237,	0.0669977,	0.0545645,	0.0933598
0.0750571,	0.0659429,	0.0536566,	0.0918153
0.0738677,	0.0649546,	0.0527961,	0.090367
0.0727447,	0.0640232,	0.0519766,	0.0890004
0.0716794,	0.0631405,	0.0511937,	0.0877044
0.0706649,	0.0623005,	0.0504439,	0.0864708
0.0696947,	0.0614974,	0.0497245,	0.0852919
0.068763,	0.0607256,	0.0490322,	0.0841606
0.0678651,	0.0599812,	0.0483642,	0.0830709
0.066998,	0.0592619,	0.0477181,	0.0820184
0.0661582,	0.0585647,	0.0470913,	0.0809984
0.065343,	0.0578873,	0.046482,	0.0800076
0.0645502,	0.0572279,	0.0458885,	0.0790432
0.0637777,	0.0565846,	0.0453096,	0.0781028
0.0630235,	0.055955,	0.044744,	0.0771835
0.0622861,	0.0553385,	0.0441906,	0.0762839
0.0615639,	0.0547336,	0.0436483,	0.0754019
0.0608554,	0.0541391,	0.0431159,	0.0745356
0.0601593,	0.053554,	0.0425925,	0.0736836
0.0594748,	0.0529775,	0.0420772,	0.0728446
0.0588007,	0.0524086,	0.0415694,	0.0720174
0.0581365,	0.0518467,	0.0410684,	0.071201
0.0574814,	0.0512914,	0.0405739,	0.0703948
0.0568348,	0.0507422,	0.0400852,	0.069598
0.0561958,	0.0501985,	0.0396018,	0.0688095
0.0555637,	0.0496596,	0.0391231,	0.0680285
0.0549377,	0.0491247,	0.0386487,	0.0672539
0.0543171,	0.0485932,	0.0381779,	0.0664847
0.0537014,	0.0480641,	0.0377102,	0.0657198
0.0530898,	0.0475368,	0.0372452,	0.064958
0.0524815,	0.0470105,	0.0367822,	0.0641981
0.0518755,	0.0464841,	0.0363207,	0.063439
0.0512712,	0.0459568,	0.0358599,	0.0626793
0.0506676,	0.0454277,	0.0353993,	0.0619178
0.0500643,	0.0448961,	0.0349383,	0.0611537
0.0494607,	0.0443616,	0.0344763,	0.0603863
0.0488562,	0.0438239,	0.034013,	0.0596148
0.0482505,	0.0432822,	0.033548,	0.0588386
0.0476429,	0.0427361,	0.0330808,	0.0580571
0.0470332,	0.0421848,	0.0326112,	0.0572696
0.046421,	0.0416273,	0.0321389,	0.056475
0.0458059,	0.0410629,	0.031664,	0.0556728
0.0451877,	0.0404905,	0.0311864,	0.054862
0.0445661,	0.0399088,	0.030706,	0.0540416
0.0439411,	0.0393169,	0.030223,	0.053211
0.0433126,	0.0387136,	0.0297377,	0.0523693
0.0426807,	0.0380983,	0.0292502,	0.0515162
0.0420456,	0.0374702,	0.0287609,	0.0506514
0.0414078,	0.0368293,	0.0282702,	0.0497752
0.0407679,	0.0361759,	0.0277787,	0.0488883
0.0401265,	0.0355101,	0.0272869,	0.0479914
0.0394846,	0.034833,	0.0267954,	0.0470859
0.0388431,	0.0341457,	0.0263048,	0.0461732
0.038203,	0.0334497,	0.0258159,	0.0452555
0.0375657,	0.0327467,	0.0253293,	0.0443347
0.0369321,	0.0320385,	0.0248459,	0.043413
0.0363036,	0.0313271,	0.0243663,	0.0424928
0.0356813,	0.0306144,	0.0238912,	0.0415763
0.0350663,	0.0299027,	0.0234214,	0.040666
0.0344598,	0.0291938,	0.0229575,	0.039764
0.0338628,	0.0284896,	0.0225001,	0.0388724
0.0332762,	0.0277919,	0.0220499,	0.0379932
0.0327007,	0.0271025,	0.0216072,	0.0371282
0.0321372,	0.0264228,	0.0211727,	0.0362791
0.0315862,	0.0257541,	0.0207468,	0.0354472
0.0310483,	0.0250977,	0.0203297,	0.0346338
