rho,	rhou,	rhov,	rhoet
0.32979,	0.225089,	0.293069,	0.396812
0.299409,	0.207295,	0.254868,	0.36741
0.272933,	0.190822,	0.22625,	0.338473
0.249423,	0.175751,	0.203225,	0.310488
0.231058,	0.164322,	0.184878,	0.287267
0.217651,	0.156153,	0.171354,	0.269502
0.208206,	0.150385,	0.162124,	0.256682
0.201431,	0.146091,	0.156166,	0.247585
0.196045,	0.142452,	0.152224,	0.2407
0.191274,	0.13908,	0.149264,	0.234909
0.186819,	0.135918,	0.146653,	0.229619
0.182691,	0.133073,	0.144128,	0.224672
0.179018,	0.130669,	0.141677,	0.220159
0.175901,	0.128756,	0.139401,	0.216229
0.173323,	0.127269,	0.137392,	0.212938
0.171139,	0.126051,	0.13566,	0.210192
0.16918,	0.124948,	0.134146,	0.207819
0.167318,	0.123877,	0.132764,	0.205653
0.165489,	0.12281,	0.13143,	0.20357
0.163698,	0.121773,	0.130099,	0.201529
0.161988,	0.120809,	0.128772,	0.199551
0.160405,	0.11995,	0.12748,	0.197687
0.158962,	0.119194,	0.126258,	0.195971
0.157632,	0.118508,	0.125123,	0.194401
0.156369,	0.117848,	0.124068,	0.192941
0.155132,	0.117183,	0.123071,	0.191541
0.153895,	0.1165,	0.122101,	0.190159
0.152657,	0.115808,	0.121134,	0.188774
0.151441,	0.115133,	0.120166,	0.187395
0.150268,	0.114497,	0.119206,	0.186046
0.149152,	0.113902,	0.118269,	0.184748
0.148086,	0.113338,	0.117366,	0.183507
0.147055,	0.112788,	0.116502,	0.182317
0.146037,	0.112233,	0.115668,	0.181156
0.145016,	0.111662,	0.114849,	0.180001
0.143989,	0.111081,	0.114032,	0.17884
0.142966,	0.110501,	0.11321,	0.177674
0.141959,	0.109932,	0.112385,	0.176512
0.140979,	0.109382,	0.111566,	0.175367
0.140025,	0.108849,	0.110761,	0.17425
0.13909,	0.108323,	0.109974,	0.173156
0.138161,	0.107792,	0.109202,	0.172077
0.137227,	0.107249,	0.108437,	0.170998
0.136286,	0.106696,	0.107672,	0.169911
0.13534,	0.106133,	0.1069,	0.168812
0.1344,	0.105573,	0.106122,	0.167708
