rho,	rhou,	rhov,	rhoet
0.106183,	0.0705034,	0.0982847,	0.130928
0.118426,	0.0814135,	0.1009,	0.143032
0.116134,	0.0802901,	0.0979704,	0.140894
0.1132,	0.0785775,	0.094921,	0.138021
0.109858,	0.0764876,	0.0917748,	0.134625
0.106273,	0.0741615,	0.0885619,	0.130863
0.102574,	0.0717105,	0.0853218,	0.126871
0.0988673,	0.0692224,	0.0820971,	0.122768
0.0952346,	0.0667623,	0.0789322,	0.118651
0.0947757,	0.0672769,	0.0769917,	0.117282
0.092915,	0.066325,	0.0746012,	0.114669
0.0910588,	0.065299,	0.0723415,	0.112105
0.0893074,	0.0642777,	0.0702647,	0.109666
0.0878224,	0.0634209,	0.0684515,	0.10753
0.0863596,	0.0624894,	0.0668166,	0.105485
0.085262,	0.0618392,	0.0654969,	0.10386
0.0841382,	0.0610795,	0.0643062,	0.102263
0.0831612,	0.060402,	0.0633168,	0.100862
0.0822872,	0.0597561,	0.0625514,	0.0996608
0.0814559,	0.0590981,	0.0619568,	0.0985908
0.0806192,	0.0584005,	0.0614732,	0.0975852
0.0797448,	0.0576493,	0.0610496,	0.096594
0.0788434,	0.0568628,	0.0606815,	0.0956132
0.0779158,	0.0560535,	0.0603313,	0.0946215
0.0769486,	0.055218,	0.0599759,	0.0935916
0.0759479,	0.0543574,	0.0596161,	0.0925194
0.0748994,	0.053483,	0.0591253,	0.0913733
0.0749093,	0.0537772,	0.0589038,	0.0910832
0.0736547,	0.0527538,	0.0580627,	0.0898318
0.0738902,	0.0532492,	0.057631,	0.0897204
0.0747892,	0.054448,	0.0574897,	0.0902105
0.0747684,	0.0546145,	0.0570876,	0.0899275
0.0746782,	0.0545943,	0.0567217,	0.0895683
0.07469,	0.054728,	0.0564109,	0.0892705
0.0746796,	0.054919,	0.0561371,	0.089071
0.0745535,	0.0548887,	0.0558984,	0.0887868
0.0744664,	0.0548731,	0.055731,	0.0885832
0.0739144,	0.0543013,	0.0554652,	0.088008
0.0736752,	0.054113,	0.0553293,	0.0877149
0.0731571,	0.0536342,	0.0551167,	0.087191
0.0729288,	0.0534344,	0.0550252,	0.086918
