rho,	rhou,	rhov,	rhoet
0.166732,	0.0698598,	0.168035,	0.205588
0.16337,	0.0728403,	0.157105,	0.201231
0.161569,	0.0755186,	0.149221,	0.198559
0.158213,	0.0761809,	0.142485,	0.194653
0.153802,	0.0755311,	0.136346,	0.189785
0.148828,	0.0741317,	0.130565,	0.184301
0.143588,	0.0723305,	0.124999,	0.178418
0.138379,	0.0703218,	0.119731,	0.17247
0.133395,	0.0683017,	0.114785,	0.166651
0.128657,	0.0662627,	0.110157,	0.161017
0.12447,	0.0645593,	0.105945,	0.155848
0.120665,	0.0629029,	0.102117,	0.151047
0.117455,	0.0615855,	0.0987501,	0.146816
0.114873,	0.0606161,	0.0958722,	0.143212
0.112929,	0.0600086,	0.0934905,	0.14026
0.111637,	0.0598387,	0.0915294,	0.137904
0.111002,	0.0600535,	0.0901035,	0.136256
0.110907,	0.0604486,	0.0893033,	0.135341
0.111139,	0.060935,	0.088973,	0.134944
0.111481,	0.0613547,	0.0889774,	0.134853
0.111775,	0.0616171,	0.089187,	0.134888
0.111894,	0.0616641,	0.0894848,	0.134893
0.111727,	0.0614302,	0.0897534,	0.134721
0.11133,	0.061038,	0.0899813,	0.134388
0.110728,	0.0605409,	0.090131,	0.133879
0.109989,	0.0600361,	0.0901978,	0.133235
0.108964,	0.0593177,	0.0900127,	0.132259
0.107662,	0.0584103,	0.0894693,	0.130935
0.106678,	0.0580814,	0.0886106,	0.129723
0.10536,	0.0574671,	0.0873073,	0.128212
0.104014,	0.0569976,	0.0858452,	0.126594
0.102586,	0.0566877,	0.0840778,	0.124972
0.101139,	0.0561876,	0.082562,	0.1231
0.0999917,	0.0557745,	0.0814151,	0.121383
0.0994931,	0.0559122,	0.080609,	0.120342
0.0994884,	0.0563213,	0.080165,	0.119875
0.0999442,	0.0570057,	0.0800616,	0.119942
0.100678,	0.0578096,	0.0802218,	0.120379
0.101831,	0.0588872,	0.0806796,	0.121248
0.102647,	0.0596068,	0.0811272,	0.121922
0.1034,	0.0601623,	0.0816579,	0.122627
0.104058,	0.0604646,	0.0822385,	0.123393
0.104372,	0.060521,	0.0827382,	0.123828
0.104491,	0.0603777,	0.083251,	0.124197
0.104158,	0.0599016,	0.0834877,	0.12408
0.103492,	0.0591779,	0.0835391,	0.123638
0.102523,	0.0583128,	0.0833247,	0.122817
0.101867,	0.0577983,	0.0832857,	0.122353
0.101372,	0.0575618,	0.0830822,	0.121857
0.100079,	0.0565353,	0.0825245,	0.120597
0.098974,	0.0558789,	0.0818283,	0.119444
0.0978117,	0.0553033,	0.0810341,	0.118182
0.0973098,	0.0552657,	0.0803111,	0.117206
0.0966555,	0.0552037,	0.0794949,	0.116188
0.096526,	0.0556724,	0.0788052,	0.115654
0.0960912,	0.0557649,	0.0781835,	0.114941
0.095957,	0.0559603,	0.0778423,	0.11456
0.0961376,	0.0563131,	0.0777354,	0.114525
0.0965648,	0.0568007,	0.077841,	0.114814
0.097133,	0.0573406,	0.0781042,	0.115322
0.0978518,	0.0579896,	0.0785263,	0.11604
0.0985732,	0.0585933,	0.079009,	0.116802
0.0989998,	0.0588263,	0.0794765,	0.117366
0.0992368,	0.0588779,	0.0798846,	0.117784
0.0992661,	0.0588016,	0.0802197,	0.118104
0.0990348,	0.0584208,	0.0804081,	0.118067
0.098623,	0.0579645,	0.0804977,	0.117889
0.0993046,	0.0589479,	0.0808441,	0.118623
0.098593,	0.0582301,	0.0807916,	0.118096
0.0977495,	0.0575135,	0.0805955,	0.117515
0.0968189,	0.0568174,	0.0802187,	0.116756
0.0960199,	0.0562554,	0.079772,	0.115989
0.0954535,	0.0561482,	0.0792553,	0.115398
0.0952095,	0.056484,	0.0787398,	0.115157
0.0947847,	0.0563706,	0.0781998,	0.114445
0.0945345,	0.0565198,	0.0777205,	0.11396
0.0950538,	0.057462,	0.07738,	0.114257
0.0952419,	0.0579769,	0.077078,	0.114187
0.09526,	0.0581745,	0.0768509,	0.114011
0.0955007,	0.0586167,	0.0768229,	0.114552
0.095834,	0.058885,	0.0769254,	0.114694
0.0963242,	0.0592995,	0.0771851,	0.115086
0.0968888,	0.0598005,	0.0775284,	0.115621
0.0971923,	0.060085,	0.0778527,	0.116117
