rho,	rhou,	rhov,	rhoet
0.014414,	0.0131225,	0.00732446,	0.0160525
0.0168898,	0.0155113,	0.00782411,	0.018562
0.0166936,	0.0153417,	0.00770525,	0.0183831
0.0164627,	0.0151382,	0.0075799,	0.0181661
0.0162034,	0.0149074,	0.0074486,	0.0179176
0.0159206,	0.0146537,	0.00731178,	0.017642
0.0156182,	0.0143811,	0.00716998,	0.0173433
0.0152997,	0.0140927,	0.00702377,	0.0170251
0.0149681,	0.0137915,	0.00687374,	0.0166904
0.0146263,	0.0134802,	0.00672048,	0.0163422
0.0142765,	0.0131611,	0.0065646,	0.0159829
0.0139209,	0.012836,	0.00640668,	0.0156149
0.0135613,	0.0125068,	0.00624727,	0.0152402
0.0131995,	0.012175,	0.00608692,	0.0148608
0.0128368,	0.0118422,	0.00592611,	0.0144782
0.0124723,	0.0115071,	0.005766,	0.0140914
0.0121092,	0.0111691,	0.00560365,	0.0137023
0.0117664,	0.0108545,	0.00544027,	0.0133242
0.0114265,	0.0105422,	0.00527858,	0.0129508
0.0110901,	0.0102327,	0.00511887,	0.0125872
0.0107579,	0.00992694,	0.00496143,	0.0122267
0.0104307,	0.00962544,	0.00480648,	0.0118702
0.0101104,	0.0093287,	0.00466782,	0.0115182
0.00979743,	0.00907845,	0.00454054,	0.0112351
0.00949062,	0.00884999,	0.00440808,	0.0109652
0.00919038,	0.00861318,	0.00427084,	0.0106886
0.00890236,	0.0083665,	0.0041603,	0.0103978
0.0086614,	0.0081113,	0.00405167,	0.0100922
0.00878278,	0.00825005,	0.00394028,	0.0098332
0.00900595,	0.00845254,	0.0038241,	0.00971194
0.00919194,	0.00861973,	0.00369198,	0.00993992
0.00934396,	0.0087548,	0.00370317,	0.0101308
0.00946482,	0.00886045,	0.00379531,	0.0102875
0.00955688,	0.00893892,	0.00387525,	0.0104122
0.00962241,	0.00899242,	0.00394361,	0.0105075
0.00966354,	0.00902304,	0.00400101,	0.0105757
0.00968226,	0.00903274,	0.00404808,	0.0106189
0.00968038,	0.00902331,	0.00408542,	0.010639
0.00965949,	0.00899626,	0.00411362,	0.0106377
0.00962077,	0.00895257,	0.00413469,	0.0106158
0.00956702,	0.00889517,	0.00414771,	0.0105771
0.00950041,	0.00881804,	0.00427604,	0.0105015
0.0094139,	0.00872517,	0.00430721,	0.0104139
0.00933181,	0.00864631,	0.0042651,	0.0103495
0.00926309,	0.00858568,	0.00424433,	0.0103055
0.00918689,	0.00851482,	0.00419582,	0.0102446
0.00910998,	0.00844542,	0.0041289,	0.010184
0.00904307,	0.00837769,	0.00405404,	0.0101029
0.00898052,	0.00832531,	0.00401032,	0.0100392
0.0088941,	0.00824641,	0.0040374,	0.0099446
0.00880802,	0.00816969,	0.00396094,	0.00985777
0.00865064,	0.00808812,	0.00388274,	0.00974004
0.00862144,	0.00807377,	0.0038152,	0.00974383
0.00856841,	0.00803378,	0.00375196,	0.00971582
0.00832793,	0.00780225,	0.00369305,	0.0094667
0.00811385,	0.00759567,	0.00362619,	0.00924706
0.00816881,	0.00773484,	0.00356581,	0.0090356
0.00831521,	0.0078672,	0.00350259,	0.00886955
0.00844276,	0.00798107,	0.00344067,	0.00902456
0.00855195,	0.00807719,	0.00337499,	0.00916035
0.00864367,	0.00815657,	0.00330479,	0.00927796
0.00871889,	0.00822024,	0.00332712,	0.00937833
0.00877855,	0.00826919,	0.0033837,	0.00946234
0.00882359,	0.00830439,	0.00343469,	0.00953086
0.00885493,	0.00832675,	0.00348019,	0.0095847
0.00887342,	0.00833709,	0.00352039,	0.00962462
0.00887975,	0.00833604,	0.00355543,	0.00965111
0.00887468,	0.00832444,	0.00358542,	0.00966505
0.00885887,	0.00830289,	0.0036105,	0.00966699
0.00883292,	0.00827203,	0.0036308,	0.00965757
0.00879735,	0.00823224,	0.00364645,	0.00963713
