rho,	rhou,	rhov,	rhoet
0.0593932,	0.0540854,	0.0301601,	0.0661448
0.0680393,	0.06238,	0.0317329,	0.074725
0.0672834,	0.0617177,	0.0311927,	0.0739835
0.066363,	0.0608953,	0.0306349,	0.0730716
0.0653225,	0.059956,	0.0300618,	0.0720304
0.0641856,	0.0589229,	0.0294743,	0.0708819
0.0629736,	0.0578166,	0.0288739,	0.0696467
0.0617053,	0.0566552,	0.0282627,	0.0683431
0.0603973,	0.0554547,	0.0276434,	0.0669879
0.0590647,	0.0542295,	0.0270187,	0.0655965
0.0577205,	0.052992,	0.0263917,	0.0641826
0.0563763,	0.0517534,	0.0257654,	0.0627585
0.0550425,	0.0505232,	0.0251426,	0.0613355
0.0537278,	0.0493102,	0.0245263,	0.0599235
0.0524397,	0.048121,	0.0239192,	0.0585308
0.0512901,	0.047067,	0.0233478,	0.0572699
0.0517126,	0.0475606,	0.023089,	0.0574375
0.0515345,	0.0474962,	0.022725,	0.0571269
0.0508519,	0.0468415,	0.0223009,	0.0563228
0.0502374,	0.0462933,	0.0218805,	0.0555724
0.0496209,	0.0457403,	0.0214748,	0.0548269
0.0489504,	0.0451276,	0.0210766,	0.0540326
0.0483254,	0.0445561,	0.0207066,	0.0532915
0.0477908,	0.0440694,	0.0203749,	0.052646
0.047339,	0.043662,	0.0200783,	0.0520865
0.0468278,	0.0431887,	0.0197889,	0.0514776
0.0463518,	0.0427478,	0.0195254,	0.0509124
0.0459038,	0.0423313,	0.0192857,	0.0503827
0.045476,	0.0419328,	0.0190588,	0.0498736
0.0450722,	0.0415553,	0.0188515,	0.0493934
0.0446887,	0.0411945,	0.0186661,	0.0489409
0.0443228,	0.0408486,	0.0185032,	0.0485165
0.0439675,	0.0405105,	0.0183611,	0.0481133
0.0436154,	0.0401731,	0.0182348,	0.0477212
0.0432606,	0.0398312,	0.0181198,	0.047333
0.0428988,	0.0394813,	0.0180121,	0.0469432
0.0425271,	0.0391209,	0.0179086,	0.0465474
0.0421435,	0.0387483,	0.0178064,	0.0461423
0.0417475,	0.0383636,	0.0177037,	0.0457264
0.0413385,	0.0379666,	0.0175989,	0.0452986
0.0409166,	0.037557,	0.0174907,	0.0448575
0.0404982,	0.0371495,	0.0173986,	0.0444195
0.0400622,	0.0367253,	0.0172943,	0.0439611
0.0396225,	0.0362983,	0.0171897,	0.0434963
0.0391855,	0.0358736,	0.0170918,	0.0430289
0.0387607,	0.03546,	0.0170058,	0.0425665
0.0383402,	0.0350555,	0.0169003,	0.042108
0.0381513,	0.0348846,	0.0168392,	0.0418806
0.03808,	0.0348422,	0.016735,	0.041758
0.0377712,	0.0345482,	0.0165527,	0.0414031
0.0377806,	0.034592,	0.0163887,	0.0413708
0.0384272,	0.0352727,	0.0163436,	0.0418658
