rho,	rhou,	rhov,	rhoet
0.0486959,	0.0419179,	0.0385213,	0.060044
0.0633358,	0.0552401,	0.0456761,	0.0761794
0.0603323,	0.0525612,	0.0438066,	0.072938
0.0573865,	0.0499383,	0.0419274,	0.0697087
0.0545866,	0.0474537,	0.0400878,	0.0665943
0.0519433,	0.0451106,	0.0383028,	0.0636081
0.0494655,	0.0429204,	0.0365851,	0.0607713
0.0471583,	0.0408851,	0.034946,	0.0580944
0.0450244,	0.0390061,	0.0333947,	0.0555867
0.0430641,	0.0372827,	0.0319385,	0.0532535
0.0412735,	0.0357103,	0.030584,	0.0510967
0.0412891,	0.0358663,	0.0301134,	0.050818
0.0428843,	0.0374773,	0.0304858,	0.0522886
0.042458,	0.0371199,	0.0299369,	0.0516373
0.0421427,	0.036924,	0.0294631,	0.0511252
0.0411502,	0.0360043,	0.0287227,	0.0499063
0.0403742,	0.0353136,	0.0281214,	0.0489378
0.0396194,	0.0346364,	0.0275666,	0.0480097
0.0388956,	0.033982,	0.0270596,	0.0471291
0.0382675,	0.0334146,	0.0266276,	0.0463634
0.0376484,	0.0328524,	0.0262215,	0.0456184
0.0369942,	0.0322498,	0.0258174,	0.0448427
0.0363527,	0.0316581,	0.0254364,	0.0440895
0.0357147,	0.0310716,	0.0250694,	0.0433493
0.0350788,	0.0304871,	0.02471,	0.0426151
0.0344405,	0.0299002,	0.0243511,	0.0418784
0.033805,	0.0293154,	0.0239996,	0.0411428
0.0331839,	0.0287439,	0.0236594,	0.0404198
0.0325892,	0.0281983,	0.0233284,	0.0397202
0.032536,	0.0282119,	0.0232341,	0.0396162
0.0328893,	0.0285811,	0.0232597,	0.0398849
0.033931,	0.0296071,	0.0236388,	0.040935
0.034602,	0.0302678,	0.0238623,	0.0415893
0.0347393,	0.0304212,	0.0238279,	0.0416773
0.0348334,	0.0306054,	0.0238067,	0.0418305
0.0346495,	0.0304304,	0.0236645,	0.041578
0.034189,	0.0299912,	0.0233937,	0.0410347
0.0337339,	0.0295604,	0.0231323,	0.0405061
0.0334931,	0.0293392,	0.0229867,	0.0402184
0.0330272,	0.0288922,	0.02273,	0.0396841
0.0325631,	0.0284494,	0.022476,	0.0391553
0.0321009,	0.0280137,	0.0222232,	0.0386318
0.0316359,	0.0275749,	0.0219691,	0.0381044
0.0311766,	0.0271415,	0.0217167,	0.0375786
0.030714,	0.026702,	0.0214608,	0.0370479
0.0303123,	0.0263783,	0.0212131,	0.0365687
0.0298615,	0.0260167,	0.0209676,	0.0361944
0.0300218,	0.0262115,	0.0210115,	0.0363083
0.0293792,	0.025548,	0.020673,	0.0355688
0.0293695,	0.0255433,	0.0206327,	0.0355046
0.0294802,	0.0256635,	0.020643,	0.0355736
0.0299132,	0.0260858,	0.0208107,	0.0359912
0.0301688,	0.0263362,	0.0208945,	0.0362245
0.0304039,	0.0265561,	0.0209758,	0.0364267
0.0306167,	0.0267586,	0.0210371,	0.0366108
0.0307709,	0.0269497,	0.0210578,	0.036714
0.0306815,	0.0269348,	0.0209857,	0.0367304
0.0302941,	0.0265449,	0.0207725,	0.0362648
0.0301558,	0.0264097,	0.0206856,	0.0360851
0.0297721,	0.0260327,	0.0204757,	0.035638
0.0293989,	0.0256741,	0.0202717,	0.0352103
0.0290245,	0.0253144,	0.0200676,	0.0347812
0.0286559,	0.0249625,	0.0198662,	0.0343604
0.0283346,	0.0247088,	0.0196721,	0.0340312
0.0281318,	0.0245154,	0.0195521,	0.0337893
0.0277649,	0.0241581,	0.0193521,	0.0333662
0.0274014,	0.0238101,	0.0191393,	0.0329447
0.0275357,	0.0239866,	0.0191942,	0.0330938
0.0271256,	0.0235607,	0.0189595,	0.0325949
0.0271698,	0.0236121,	0.0189533,	0.0326149
0.0272083,	0.0236634,	0.0189411,	0.0326344
0.0272188,	0.0236802,	0.0189157,	0.0326175
0.0272602,	0.0237874,	0.0188845,	0.0326697
0.0272558,	0.0237964,	0.0188524,	0.0326689
0.0273623,	0.0238904,	0.0188797,	0.0327453
0.0275413,	0.0240652,	0.0189391,	0.0329328
0.0276347,	0.0241581,	0.0189485,	0.033011
0.0277994,	0.0243256,	0.0190031,	0.0331623
0.0276397,	0.0241696,	0.0189006,	0.032965
0.0275126,	0.0240435,	0.0188144,	0.0328013
0.0271726,	0.0237076,	0.0186181,	0.0324029
0.0268752,	0.02347,	0.0184325,	0.0321009
0.0267681,	0.0233616,	0.0183609,	0.0319644
0.0264624,	0.0230735,	0.0181801,	0.031597
