rho,	rhou,	rhov,	rhoet
0.123551,	0.091109,	0.0893591,	0.141527
0.123315,	0.0919313,	0.0864462,	0.14122
0.123035,	0.092548,	0.0839675,	0.140888
0.12292,	0.0931838,	0.0818963,	0.140724
0.123057,	0.0939232,	0.0802093,	0.140809
0.1231,	0.0944835,	0.0787626,	0.140811
0.122436,	0.0943672,	0.0773025,	0.140131
0.121224,	0.0937287,	0.0758062,	0.138899
0.119573,	0.0926717,	0.0742609,	0.137209
0.117586,	0.0912947,	0.0726678,	0.135155
0.115347,	0.0896736,	0.0710328,	0.132812
0.112924,	0.0878709,	0.0693658,	0.130249
0.110397,	0.0859608,	0.0676814,	0.127542
0.107835,	0.0840049,	0.0659958,	0.124759
0.105284,	0.0820427,	0.0643298,	0.121944
0.102801,	0.0801251,	0.0627013,	0.119156
0.100418,	0.0782825,	0.0611253,	0.116443
0.0981741,	0.0765491,	0.0596178,	0.113844
0.0960931,	0.0749445,	0.058194,	0.111394
0.0940783,	0.0733988,	0.056771,	0.108965
0.0921737,	0.0719567,	0.0553561,	0.106586
0.0905758,	0.0707664,	0.0541065,	0.104522
0.0893076,	0.0698439,	0.0530473,	0.102808
0.0883501,	0.0691701,	0.0521806,	0.101436
0.0877037,	0.0687474,	0.0515045,	0.100408
0.0873243,	0.0685355,	0.0510096,	0.0996965
0.0871976,	0.0685245,	0.0506846,	0.0992779
0.0872997,	0.0686922,	0.0505188,	0.0991317
0.0876702,	0.0690857,	0.0505124,	0.0992873
0.0881954,	0.0695864,	0.0506309,	0.0996383
0.0887105,	0.0700525,	0.0508151,	0.100029
0.0891598,	0.0704374,	0.0510347,	0.100398
0.0895008,	0.0707074,	0.0512649,	0.100699
0.0897321,	0.0708625,	0.0515176,	0.100917
0.089802,	0.0708606,	0.0517405,	0.100997
0.0896752,	0.070676,	0.0518838,	0.100899
0.0894049,	0.0703643,	0.0519997,	0.100674
0.0891858,	0.0701564,	0.0520641,	0.100485
0.0889115,	0.069905,	0.0521059,	0.100189
0.0883947,	0.0693945,	0.0521004,	0.099659
0.0877923,	0.0688313,	0.0520006,	0.098997
0.0871261,	0.0682341,	0.0517606,	0.098303
0.0863439,	0.0675693,	0.0513633,	0.0975155
0.0855358,	0.0669166,	0.0509126,	0.0966753
0.0845265,	0.0660883,	0.050333,	0.0956014
0.0834087,	0.0651622,	0.0496832,	0.0943648
0.0823111,	0.0642711,	0.0490048,	0.0931271
0.0812401,	0.0634294,	0.0482827,	0.0919321
0.0802656,	0.0626876,	0.0475978,	0.0908186
0.0793753,	0.0620122,	0.0469823,	0.0897582
0.0785417,	0.0613644,	0.0464422,	0.0887322
0.0779335,	0.0609277,	0.0459814,	0.0879472
0.077506,	0.0606417,	0.0456199,	0.0873342
0.0771656,	0.0604206,	0.0453263,	0.086837
0.0770554,	0.0604028,	0.0451295,	0.0865795
0.0770761,	0.0604901,	0.0450086,	0.0864743
0.0772101,	0.0606655,	0.0449567,	0.0865036
0.0774548,	0.0609309,	0.0449697,	0.086663
0.0778196,	0.0612944,	0.0450469,	0.0869539
0.0781579,	0.0616174,	0.0451544,	0.0872424
0.0786302,	0.062044,	0.0453542,	0.0876733
0.079011,	0.0623689,	0.0455455,	0.0880364
0.0793178,	0.0626361,	0.0457075,	0.0883638
0.0798481,	0.0631485,	0.0458872,	0.0888827
0.0804371,	0.0637648,	0.0460453,	0.0894397
0.0804393,	0.0637015,	0.0461474,	0.0894561
0.0803219,	0.0635237,	0.0462354,	0.0893594
0.0802384,	0.0634007,	0.0463021,	0.0892965
0.0801597,	0.063322,	0.0463359,	0.0892403
0.0799552,	0.0631166,	0.046316,	0.0890719
0.0796349,	0.0627992,	0.046273,	0.088743
0.0792616,	0.0624469,	0.0461668,	0.0883689
0.0787837,	0.0620005,	0.0460117,	0.0878765
0.0782635,	0.0615616,	0.0458018,	0.0873315
0.0776492,	0.0610495,	0.0455455,	0.0868228
0.0769856,	0.0604508,	0.0452481,	0.086092
0.0763092,	0.0598525,	0.044924,	0.0853419
0.0755925,	0.0592224,	0.0445789,	0.0845449
0.0749369,	0.0586561,	0.0442426,	0.0837906
0.0743028,	0.0581194,	0.0438806,	0.0830568
0.0736303,	0.0575572,	0.0434922,	0.0822867
0.0731183,	0.0571491,	0.0431309,	0.0816526
0.0726222,	0.0567527,	0.0427964,	0.0810356
0.0721791,	0.0564011,	0.042498,	0.080482
0.0717713,	0.0560774,	0.0422218,	0.0799412
0.0716145,	0.0560289,	0.042055,	0.0796674
0.0714911,	0.0560213,	0.0419379,	0.0796834
0.0713653,	0.0559321,	0.0417913,	0.0794493
0.0713407,	0.0559513,	0.0416567,	0.0793211
0.0718066,	0.0564919,	0.0416708,	0.0797076
0.0725529,	0.0573637,	0.0417313,	0.0803241
0.072528,	0.0573062,	0.0417085,	0.0802411
0.0725506,	0.0572776,	0.0417647,	0.0802335
0.0725346,	0.0572151,	0.0417918,	0.0802024
0.072528,	0.0571989,	0.0418013,	0.0801773
0.0727505,	0.0574676,	0.0418448,	0.0805451
0.0729989,	0.057744,	0.041902,	0.0807759
0.0729309,	0.0576533,	0.0419159,	0.0806984
0.0727235,	0.0574249,	0.0418902,	0.0804927
0.0726526,	0.0573514,	0.0418687,	0.0804207
0.07255,	0.0572632,	0.0418287,	0.0803066
0.0722049,	0.0569175,	0.04174,	0.0799565
0.071936,	0.0566634,	0.0416407,	0.0796532
0.071653,	0.0564147,	0.0415053,	0.0793391
0.0712453,	0.0560629,	0.0413644,	0.0790029
0.0708527,	0.055699,	0.0411941,	0.0785706
0.070463,	0.055345,	0.0410104,	0.0781224
0.0700282,	0.0549479,	0.0408072,	0.0776235
0.0695541,	0.0545256,	0.0405665,	0.0770856
0.0691258,	0.05416,	0.040324,	0.0765807
0.0686548,	0.0537598,	0.0400411,	0.0760411
0.0683387,	0.053521,	0.0398235,	0.0756948
0.0678764,	0.053119,	0.039548,	0.0751414
0.067468,	0.0528109,	0.0392635,	0.0746399
0.0670547,	0.0525235,	0.0389628,	0.074268
0.0672719,	0.0528775,	0.0388515,	0.0744027
0.067932,	0.053755,	0.0387979,	0.0748969
0.0675407,	0.0533623,	0.0386048,	0.0744203
0.0672218,	0.053045,	0.0384346,	0.074043
0.0670051,	0.0528201,	0.0383462,	0.0737935
0.0668985,	0.0527065,	0.0382897,	0.0736561
0.0667102,	0.0525243,	0.0382114,	0.0734554
0.0665427,	0.0523764,	0.0381079,	0.0732421
0.0667046,	0.0526059,	0.0380937,	0.0734692
0.0671052,	0.0531102,	0.0381216,	0.0738095
0.0669705,	0.0529754,	0.0381103,	0.0737276
0.0667683,	0.0527547,	0.0380683,	0.073515
0.0665103,	0.0524849,	0.0379959,	0.0732602
0.0664497,	0.0524376,	0.0379323,	0.0731899
0.0664605,	0.0524844,	0.0378883,	0.0731638
0.0661571,	0.0521754,	0.0377944,	0.0728382
0.0657932,	0.0518153,	0.0376672,	0.0724515
0.06559,	0.0516304,	0.0375459,	0.0722215
0.0654331,	0.0515423,	0.0374229,	0.0720113
0.0649888,	0.051147,	0.0372532,	0.0716141
0.0646894,	0.0508664,	0.0370937,	0.071241
0.0643808,	0.0506199,	0.0369012,	0.0709244
0.064014,	0.0502779,	0.0367478,	0.0704998
0.0637306,	0.0500253,	0.0365938,	0.0701495
0.0633765,	0.0497276,	0.0363643,	0.0697261
0.0629039,	0.0493152,	0.0360718,	0.0691734
0.0632261,	0.0497803,	0.0359842,	0.0694332
0.0639469,	0.0507419,	0.0359375,	0.070006
0.0634361,	0.0502166,	0.0357156,	0.0693766
0.062947,	0.0497645,	0.0354942,	0.0689207
0.0626073,	0.0494124,	0.0353291,	0.0685439
0.0622989,	0.0490943,	0.035217,	0.068174
0.0619171,	0.0486899,	0.035119,	0.067742
