rho,	rhou,	rhov,	rhoet
0.0309561,	0.0227998,	0.0224092,	0.0354602
0.0308781,	0.0230188,	0.0216357,	0.0353877
0.0308253,	0.0232128,	0.0209974,	0.0353434
0.0311674,	0.0238248,	0.0205232,	0.035733
0.0313703,	0.0241743,	0.020242,	0.0360078
0.0313054,	0.0242643,	0.0199229,	0.0360056
0.0310524,	0.0241732,	0.0195819,	0.03581
0.030652,	0.0239416,	0.0192151,	0.0354571
0.0301354,	0.0235994,	0.0188222,	0.0349747
0.0295269,	0.0231695,	0.0184044,	0.0343855
0.0288459,	0.0226703,	0.0179641,	0.0337085
0.0281081,	0.0221161,	0.0175041,	0.0329596
0.0273264,	0.0215188,	0.0170277,	0.0321523
0.0265116,	0.0208882,	0.0165381,	0.0312984
0.0256728,	0.0202327,	0.0160385,	0.0304082
0.0248283,	0.0195595,	0.0155318,	0.0294909
0.0239736,	0.0188749,	0.0150209,	0.0285544
0.0231238,	0.0181845,	0.0145082,	0.027606
0.0222523,	0.0174935,	0.0139961,	0.0266523
0.0213037,	0.0167558,	0.0134482,	0.0256275
0.0201606,	0.0158311,	0.012753,	0.0243298
0.0191051,	0.0149722,	0.0121113,	0.0231163
0.0181557,	0.0142704,	0.0115247,	0.0219897
0.0174212,	0.0143348,	0.0110451,	0.0211008
0.0183117,	0.0150432,	0.0106171,	0.0202388
0.0191009,	0.0156636,	0.0103325,	0.021027
0.0197882,	0.0161963,	0.0108484,	0.0218885
0.0203729,	0.016641,	0.0113165,	0.0226427
0.0208542,	0.0169969,	0.0117354,	0.0232871
0.0212343,	0.0172663,	0.0121059,	0.0238219
0.0215153,	0.0174514,	0.0124262,	0.0242486
0.0217009,	0.0175558,	0.0126945,	0.0245701
0.0217964,	0.017585,	0.0129117,	0.0247912
0.0218781,	0.0176291,	0.0132654,	0.0249413
0.021923,	0.0176516,	0.0135619,	0.0249976
0.0219256,	0.0176034,	0.0136205,	0.0249973
0.0219147,	0.0175566,	0.0136329,	0.0249128
0.0218621,	0.017464,	0.0134557,	0.025062
0.0217679,	0.0173261,	0.0135059,	0.0250862
0.0216544,	0.0172157,	0.0134393,	0.0249009
0.0216224,	0.0172582,	0.0132852,	0.0249468
0.0215404,	0.017242,	0.0130364,	0.0250201
0.0214348,	0.0171216,	0.0127644,	0.0247719
0.0210694,	0.0167559,	0.0124699,	0.0242368
0.020581,	0.0163208,	0.0121726,	0.0236478
0.0199419,	0.0157558,	0.0118735,	0.0229137
0.0194047,	0.0153502,	0.0116268,	0.022182
0.0192155,	0.015324,	0.0114278,	0.0221454
0.0189327,	0.0154112,	0.0112193,	0.0219238
0.0188547,	0.0158331,	0.0109977,	0.0213163
0.0193634,	0.016197,	0.0107631,	0.0208786
0.019802,	0.0165017,	0.0105174,	0.0214732
0.0201709,	0.0167476,	0.0107266,	0.0219955
0.0204695,	0.0169337,	0.0110607,	0.0224427
0.0206992,	0.0170617,	0.0113615,	0.0228153
0.0208625,	0.0171349,	0.0116257,	0.0231158
0.0209626,	0.0171571,	0.0118511,	0.0233471
0.0210007,	0.0171288,	0.0120362,	0.0235088
0.0209813,	0.0170554,	0.0121822,	0.0236047
0.0208973,	0.017044,	0.0122901,	0.0236239
0.0209327,	0.0171209,	0.0125767,	0.0235714
0.0210154,	0.0171365,	0.0127464,	0.0234835
0.0210296,	0.0170951,	0.0127395,	0.0236047
0.0209799,	0.0169987,	0.0125125,	0.0236459
0.020901,	0.0169628,	0.012326,	0.0236342
0.0208719,	0.0168894,	0.0125233,	0.0235783
0.0207829,	0.0167672,	0.0126958,	0.023477
0.0206387,	0.0165998,	0.0126904,	0.0233581
0.0205199,	0.0164476,	0.0124678,	0.0233823
0.0203606,	0.0162619,	0.0125473,	0.0233283
0.0202006,	0.0161107,	0.0124675,	0.0230713
0.020163,	0.0161388,	0.0123206,	0.0231961
0.0199305,	0.0158667,	0.0121705,	0.0227272
0.0198316,	0.0158307,	0.0119756,	0.0227641
0.0195146,	0.0156212,	0.0117442,	0.0222718
0.0191623,	0.0159134,	0.0116035,	0.0217731
0.0191508,	0.0161554,	0.0115402,	0.0214957
0.019465,	0.0163484,	0.0114976,	0.0213766
0.0197231,	0.0164942,	0.0113951,	0.021457
0.0199246,	0.0165921,	0.0112248,	0.0217838
0.020074,	0.0166484,	0.0109795,	0.0220547
0.0201701,	0.0166544,	0.0111594,	0.022265
0.0201913,	0.01659,	0.0113337,	0.0223878
0.0201608,	0.0164862,	0.0114745,	0.0224523
0.0200852,	0.016349,	0.0115853,	0.0224663
0.0200149,	0.0163409,	0.0119154,	0.0224418
0.0199177,	0.0164315,	0.0121077,	0.0223908
0.02003,	0.0164658,	0.0121124,	0.022327
0.0200828,	0.0164517,	0.0118863,	0.0223261
0.0200809,	0.0163942,	0.0116166,	0.0224231
0.0200264,	0.0162947,	0.0115948,	0.02246
0.0199298,	0.0161577,	0.0117047,	0.0224397
0.0198108,	0.0160798,	0.0119856,	0.0223421
0.0197129,	0.0160337,	0.0120381,	0.022233
0.0196555,	0.0159366,	0.0119579,	0.0221478
0.019552,	0.0158036,	0.011658,	0.0221914
0.0194537,	0.0157087,	0.0116776,	0.0220924
0.0193241,	0.0156211,	0.0117943,	0.0218385
0.0192238,	0.015543,	0.0117791,	0.0217179
0.0191546,	0.0155027,	0.0114933,	0.0218006
0.0191064,	0.0154973,	0.0115973,	0.0217901
0.019087,	0.0156728,	0.0115928,	0.0214121
0.0190228,	0.0158315,	0.0114926,	0.0215059
0.0189766,	0.0159591,	0.0115142,	0.0215707
0.0191355,	0.0160293,	0.01147,	0.0213673
0.0192662,	0.0160525,	0.011496,	0.0215169
0.0193474,	0.0160364,	0.0114043,	0.0213386
0.0193836,	0.0159859,	0.011416,	0.0215026
0.019375,	0.0159008,	0.0112663,	0.0213934
0.0193258,	0.0157852,	0.0110594,	0.0214167
0.0192471,	0.0156449,	0.0110244,	0.0214026
0.0191955,	0.0156981,	0.0113402,	0.0213931
0.0190796,	0.0157953,	0.0114847,	0.021345
0.0191386,	0.0158528,	0.011479,	0.0212689
0.0192319,	0.0158732,	0.0111921,	0.0211805
0.019281,	0.0158591,	0.0109587,	0.0212955
0.0192862,	0.0158101,	0.0108575,	0.0213942
0.0192498,	0.0157286,	0.0109681,	0.0214461
0.0191539,	0.0156212,	0.0110477,	0.0214283
0.0190428,	0.0156946,	0.0113188,	0.0213484
0.0191136,	0.015723,	0.0114509,	0.0212774
0.0191599,	0.0157125,	0.0114513,	0.0212798
0.0191626,	0.0156679,	0.0112075,	0.0213753
0.0191274,	0.0156377,	0.011032,	0.0214304
0.0190958,	0.0157038,	0.0111159,	0.0214441
0.0191713,	0.0157296,	0.011397,	0.0213991
0.0192014,	0.0157179,	0.0114779,	0.0214873
0.019189,	0.0156788,	0.0114551,	0.0215747
0.019135,	0.0156814,	0.0112015,	0.0216128
0.0191406,	0.0156374,	0.011424,	0.0216082
0.0190941,	0.0155482,	0.0115684,	0.021582
0.0189986,	0.0154171,	0.0115844,	0.0215229
0.0188826,	0.0153391,	0.0113506,	0.0216397
0.0187323,	0.0153534,	0.0114441,	0.0216144
0.0186655,	0.0153256,	0.0114204,	0.0210325
0.0186504,	0.015246,	0.0111761,	0.0210438
0.0185964,	0.0151347,	0.0109369,	0.0209416
0.018605,	0.0153264,	0.0108385,	0.0206457
0.0185506,	0.0154773,	0.0110362,	0.0206601
0.0186414,	0.015593,	0.0110517,	0.0206387
0.018815,	0.015685,	0.0108249,	0.0205671
0.0189442,	0.0157355,	0.0106191,	0.0208002
0.0190226,	0.0157373,	0.0104635,	0.0209752
0.0190615,	0.0157089,	0.010619,	0.0211093
0.0190594,	0.0156484,	0.0107539,	0.0211986
0.0190178,	0.0156339,	0.0108648,	0.0212437
0.018975,	0.0157516,	0.011133,	0.0212572
0.0190383,	0.0158237,	0.0113454,	0.0212505
0.0191441,	0.0158601,	0.0113753,	0.021233
0.0192072,	0.0158634,	0.0112126,	0.0213184
0.0192257,	0.0158312,	0.0109861,	0.021432
0.0191983,	0.0157607,	0.0109802,	0.0214915
0.0191074,	0.0156251,	0.0110701,	0.0214737
