rho,	rhou,	rhov,	rhoet
0.0565535,	0.0508605,	0.0323508,	0.0647821
0.0681266,	0.061817,	0.0353598,	0.0765467
0.0666289,	0.0604606,	0.0345719,	0.0750552
0.065021,	0.0589986,	0.0337554,	0.0734328
0.0633576,	0.0574838,	0.0329207,	0.0717332
0.0616611,	0.0559371,	0.0320726,	0.0699794
0.0599511,	0.0543771,	0.0312162,	0.068192
0.0582446,	0.0528194,	0.0303567,	0.0663894
0.0565562,	0.0512778,	0.0294994,	0.064588
0.0548986,	0.0497642,	0.0286494,	0.0628027
0.0532828,	0.0482887,	0.0278117,	0.0610463
0.0517177,	0.0468594,	0.0269906,	0.0593299
0.0502107,	0.0454832,	0.0261905,	0.0576629
0.0487672,	0.044165,	0.0254156,	0.056053
0.048274,	0.0437866,	0.0248923,	0.0553313
0.0489638,	0.0445233,	0.0247236,	0.0557963
0.0487256,	0.0443577,	0.0243303,	0.0553948
0.0487641,	0.0445243,	0.0239944,	0.0552298
0.0476451,	0.0434267,	0.0234282,	0.053983
0.0470236,	0.0428694,	0.0229946,	0.0532136
0.0465005,	0.0424042,	0.0226126,	0.0525505
0.0458998,	0.0418537,	0.0222362,	0.0518231
0.0453376,	0.0413391,	0.0218936,	0.0511445
0.0447999,	0.0408436,	0.0215816,	0.050503
0.044282,	0.040363,	0.0212968,	0.0498911
0.0437839,	0.0398989,	0.0210339,	0.0493056
0.0433112,	0.039457,	0.020793,	0.0487499
0.0428524,	0.0390251,	0.0205757,	0.0482172
0.0424028,	0.0385994,	0.0203785,	0.047704
0.0419527,	0.0381708,	0.0201982,	0.0472009
0.0414967,	0.0377354,	0.0200288,	0.0466999
0.0410316,	0.0372905,	0.0198653,	0.0461954
0.0405553,	0.036834,	0.019704,	0.0456826
0.0400861,	0.0363836,	0.0195474,	0.0451774
0.0396591,	0.0359795,	0.0194027,	0.0447175
0.0391451,	0.0354851,	0.0192382,	0.0441666
0.0386326,	0.0349928,	0.0190773,	0.0436165
0.038125,	0.0345056,	0.0189245,	0.043069
0.0376295,	0.0340322,	0.0187741,	0.0425298
0.0371482,	0.0335704,	0.0186361,	0.0419971
0.0368763,	0.033326,	0.0185205,	0.0416807
0.03677,	0.033252,	0.0184188,	0.0415168
0.0370798,	0.0335889,	0.0183508,	0.0416769
0.0368566,	0.0333934,	0.0181584,	0.0414805
0.0377391,	0.0342922,	0.0182227,	0.042232
0.0377829,	0.0343609,	0.0181285,	0.0422772
0.0386878,	0.0352654,	0.0182718,	0.0430619
0.0386401,	0.0352348,	0.0182041,	0.0430088
0.0385182,	0.0351269,	0.0181086,	0.0428356
0.0383356,	0.0350044,	0.0180003,	0.0426832
0.0382073,	0.0348816,	0.0179222,	0.0425061
0.0379035,	0.034586,	0.0178027,	0.0421654
0.0376046,	0.0342964,	0.0176899,	0.0418367
0.0373044,	0.0340057,	0.0175816,	0.0415115
0.0369999,	0.0337118,	0.0174759,	0.0411874
0.0366888,	0.0334108,	0.0173713,	0.0408582
0.0367248,	0.0334495,	0.0173553,	0.0408389
0.036242,	0.0329691,	0.0172174,	0.0403651
0.0359021,	0.0326307,	0.0171087,	0.0400002
0.035558,	0.0322906,	0.0169986,	0.0396323
0.0352075,	0.031947,	0.0168864,	0.0392613
0.0349025,	0.031735,	0.0167734,	0.0390652
0.0345325,	0.0313574,	0.0166639,	0.03865
0.0341555,	0.030979,	0.0165437,	0.0382344
0.0337808,	0.0306061,	0.0164279,	0.0378261
0.0334028,	0.030235,	0.0162959,	0.0374147
0.0330344,	0.0298857,	0.0161643,	0.0370246
0.0328777,	0.0297435,	0.0161,	0.0368458
0.0328729,	0.0297521,	0.016066,	0.0368001
0.0324252,	0.0292893,	0.0159061,	0.0362849
0.0325299,	0.0294018,	0.0158935,	0.0363426
0.0323238,	0.0292029,	0.0157971,	0.0360979
0.0324835,	0.0294739,	0.0157873,	0.0363694
0.0325339,	0.0295081,	0.0157677,	0.0363379
0.0325647,	0.0295364,	0.015706,	0.0363018
0.0325954,	0.0295708,	0.0156411,	0.0362766
0.0329978,	0.0299748,	0.0156998,	0.0366286
0.0334086,	0.0303853,	0.0157746,	0.0369957
0.0334644,	0.0304537,	0.0157495,	0.0370265
0.0334902,	0.0304737,	0.0157238,	0.0370006
0.0332155,	0.030194,	0.0156154,	0.0366911
0.0329298,	0.0299062,	0.0155128,	0.0363681
0.0331125,	0.0302125,	0.0155205,	0.0367024
0.0327047,	0.0297551,	0.0154009,	0.036209
0.0324177,	0.0294625,	0.0153046,	0.0358847
0.0321319,	0.0291752,	0.0152099,	0.0355708
0.0318434,	0.0288862,	0.0151144,	0.0352558
0.0315524,	0.028597,	0.0150175,	0.0349418
0.0312652,	0.0283138,	0.0149212,	0.0346351
0.030984,	0.0280705,	0.0148216,	0.0343835
0.0307197,	0.0278354,	0.0147194,	0.0341437
0.0304726,	0.0275947,	0.0146375,	0.0338781
0.0303392,	0.0274533,	0.0145919,	0.0337088
0.0300078,	0.0271209,	0.0144782,	0.0333427
0.0296898,	0.026806,	0.0143632,	0.0329969
0.0305751,	0.0277553,	0.0145547,	0.0338175
0.0295614,	0.0266945,	0.0142833,	0.0328361
0.029182,	0.026308,	0.0141505,	0.0324128
0.028827,	0.0259541,	0.0140168,	0.0320187
0.0291127,	0.0262973,	0.0140559,	0.0323483
0.0288007,	0.0259798,	0.0139413,	0.031992
0.0294117,	0.0266136,	0.0140534,	0.0325069
0.0287294,	0.0259728,	0.0138565,	0.031938
0.0292742,	0.0265203,	0.0139534,	0.0323636
0.0287518,	0.0259878,	0.0137969,	0.031868
0.0287458,	0.025989,	0.0137328,	0.0318198
0.0290535,	0.0263045,	0.0137681,	0.0321069
0.0291859,	0.0264416,	0.0137644,	0.0322082
0.0304078,	0.0278212,	0.0140077,	0.0334247
0.0293359,	0.0266323,	0.0137382,	0.0323564
0.0294004,	0.0266909,	0.0137301,	0.0323877
0.0291403,	0.0264253,	0.0136309,	0.0320999
0.0288954,	0.0261814,	0.0135342,	0.0318222
0.0286844,	0.0260292,	0.013443,	0.0316803
0.0284269,	0.0257645,	0.013361,	0.0313856
0.0291489,	0.0265879,	0.0134959,	0.0320727
0.0281875,	0.0255242,	0.0132545,	0.031098
0.0279525,	0.0253196,	0.0131632,	0.0308879
0.0276859,	0.0250517,	0.0130735,	0.0305962
0.027429,	0.0247933,	0.0129838,	0.0303138
0.0271713,	0.0245333,	0.012899,	0.0300302
0.0269063,	0.0242687,	0.0128082,	0.0297403
0.0266345,	0.0239977,	0.0127042,	0.0294395
0.0263568,	0.0237225,	0.0125971,	0.0291314
0.0274125,	0.0249072,	0.0128416,	0.03022
0.0264073,	0.023833,	0.0125814,	0.0292278
0.0261736,	0.0236157,	0.0124802,	0.0289864
0.0262041,	0.0236307,	0.0124496,	0.028926
0.025905,	0.0233276,	0.0123523,	0.0286269
0.0259876,	0.0234335,	0.0123435,	0.0286978
0.0256858,	0.0231269,	0.0122314,	0.0283533
0.0255977,	0.0230389,	0.0121843,	0.0282358
0.0257099,	0.0231701,	0.012191,	0.02834
0.0254119,	0.0228662,	0.0120731,	0.0279911
0.0256972,	0.0231725,	0.0121093,	0.0282679
0.0256233,	0.0231271,	0.0120421,	0.0282061
0.0256735,	0.02318,	0.0120209,	0.0282193
0.0258831,	0.0233942,	0.0120488,	0.0284037
0.0257529,	0.0232572,	0.0119831,	0.0282358
0.0257764,	0.0233157,	0.0119566,	0.0282779
0.0255086,	0.0230384,	0.0118557,	0.0279642
0.0254013,	0.0229424,	0.0118054,	0.0278541
0.0253872,	0.0229256,	0.0117831,	0.0278055
0.0251073,	0.0226347,	0.0116815,	0.0274821
0.0248613,	0.022411,	0.0115817,	0.0272402
0.0246042,	0.0221486,	0.0114886,	0.0269466
0.024335,	0.0218705,	0.0113881,	0.0266336
0.0240719,	0.021602,	0.0112879,	0.0263312
0.0243606,	0.0218917,	0.0113277,	0.0265488
0.0238428,	0.021386,	0.0111669,	0.0260685
0.0235661,	0.0210976,	0.0110693,	0.0257448
0.0233322,	0.0209143,	0.0109716,	0.0255537
0.023042,	0.0206073,	0.0108571,	0.0252004
0.0227617,	0.0203162,	0.0107489,	0.0248616
0.023302,	0.0209296,	0.0108721,	0.0254653
0.0229078,	0.0204959,	0.0107395,	0.0249896
0.0225397,	0.0200953,	0.0106004,	0.0245393
0.0221757,	0.0197054,	0.0104606,	0.0241002
0.0221296,	0.019673,	0.0104105,	0.0240415
0.0223094,	0.0198754,	0.0104174,	0.0241991
0.0220093,	0.0195619,	0.0102978,	0.023841
0.0219909,	0.019603,	0.0102417,	0.0238762
0.0225554,	0.0201738,	0.0103617,	0.0243678
0.0220283,	0.0196151,	0.010182,	0.0237912
0.0228222,	0.0204553,	0.0103368,	0.0244959
0.0220184,	0.0196279,	0.0100977,	0.0237411
0.0217421,	0.0193474,	0.00998222,	0.0234175
0.0219669,	0.0195805,	0.0100182,	0.0236233
0.0216665,	0.0192927,	0.00988987,	0.0233042
0.0213796,	0.0189829,	0.0097715,	0.0229512
0.021864,	0.0195744,	0.00984332,	0.0234316
0.0211367,	0.0187428,	0.00963449,	0.0226727
0.0211531,	0.0187895,	0.00959755,	0.0226806
0.0208431,	0.0184564,	0.00948329,	0.0222922
0.0205433,	0.0181444,	0.00936653,	0.0219454
0.0202542,	0.0178453,	0.00925156,	0.0216067
0.0199786,	0.0175626,	0.00913879,	0.0212852
0.0197005,	0.0172812,	0.00902433,	0.0209636
0.0194235,	0.0169971,	0.00891028,	0.0206406
0.0192466,	0.0168086,	0.00883245,	0.0204191
0.0192858,	0.016855,	0.00881846,	0.0204325
0.0189771,	0.0165301,	0.00868911,	0.0200647
0.018693,	0.0162374,	0.00856133,	0.0197274
0.018774,	0.0163458,	0.00855399,	0.019816
0.0190764,	0.0166922,	0.00861939,	0.0201364
0.0186868,	0.0162625,	0.00847188,	0.0196599
0.018317,	0.0158588,	0.00832215,	0.019208
0.0179812,	0.015505,	0.00818162,	0.0188138
0.0185425,	0.0161395,	0.0083252,	0.0194363
0.0182467,	0.0158257,	0.00820883,	0.0190961
0.0179597,	0.0155322,	0.0080865,	0.018755
0.0176798,	0.0152381,	0.00796714,	0.0184202
0.0176507,	0.0152145,	0.00792683,	0.0183693
0.0178187,	0.0154024,	0.00795064,	0.018526
0.0175079,	0.0150653,	0.00783078,	0.0181491
0.0178172,	0.0153984,	0.00787627,	0.0184137
0.0172631,	0.0148128,	0.0076927,	0.017835
0.0169962,	0.0145351,	0.00757959,	0.0175223
0.016886,	0.0144182,	0.00752004,	0.0173791
0.0170919,	0.0146646,	0.00755774,	0.0176065
0.0167894,	0.0143318,	0.00744053,	0.0172352
0.0165142,	0.0140372,	0.00733267,	0.0169069
