rho,	rhou,	rhov,	rhoet
0.0265821,	0.0176212,	0.0246197,	0.0327768
0.029747,	0.0206116,	0.0251691,	0.0359459
0.0291643,	0.0203655,	0.0245085,	0.035477
0.0284015,	0.0199464,	0.0237832,	0.0347832
0.027513,	0.0194082,	0.0230081,	0.0339235
0.0265341,	0.0187828,	0.0221912,	0.032934
0.0254929,	0.0180952,	0.0213418,	0.0318455
0.024412,	0.0173652,	0.0204693,	0.0306841
0.0233102,	0.0166094,	0.0195831,	0.0294729
0.0221833,	0.0158227,	0.0186935,	0.0282172
0.0211028,	0.015076,	0.0177787,	0.0269833
0.0200506,	0.0143326,	0.0168791,	0.0257485
0.0190324,	0.0136004,	0.0159993,	0.024525
0.0180471,	0.0129019,	0.0151432,	0.0233219
0.0170922,	0.0122285,	0.014314,	0.0221474
0.016171,	0.0123,	0.0135165,	0.0210297
0.0163334,	0.0127196,	0.0126974,	0.0198491
0.0170534,	0.0131878,	0.0121964,	0.0198775
0.0175733,	0.0134988,	0.0128461,	0.0206721
0.0179181,	0.0136745,	0.0133653,	0.0212614
0.0181101,	0.013734,	0.0137643,	0.0216676
0.0181689,	0.0136939,	0.0140541,	0.02191
0.0182357,	0.0136935,	0.0144313,	0.0221233
0.0181494,	0.0135538,	0.0146752,	0.0221493
0.0179117,	0.0132842,	0.0146367,	0.0219787
0.0176262,	0.0130199,	0.0144739,	0.0217905
0.017361,	0.0128724,	0.0141454,	0.0216917
0.0170231,	0.0125228,	0.0137618,	0.0211232
0.0167006,	0.0122759,	0.013291,	0.0208521
0.0162164,	0.0117959,	0.0128453,	0.0201553
0.0155724,	0.0120392,	0.0124187,	0.0193051
0.0154922,	0.0125956,	0.0119909,	0.0186123
0.016095,	0.0130117,	0.0115826,	0.0183243
0.0165572,	0.0132941,	0.0113243,	0.019006
0.0169024,	0.0134764,	0.0118012,	0.019558
0.0171416,	0.0135713,	0.0122036,	0.0199899
0.0172857,	0.0135912,	0.0125338,	0.0203123
0.0173478,	0.0135527,	0.0127921,	0.0205416
0.017323,	0.0134416,	0.0129913,	0.0206589
0.017228,	0.0132805,	0.0131287,	0.0206891
0.017069,	0.0130746,	0.0132051,	0.0206374
0.0169363,	0.0128766,	0.0134168,	0.0205865
0.0166852,	0.0125934,	0.0134309,	0.0204082
0.0164592,	0.0124214,	0.013183,	0.0202037
0.0163247,	0.0122575,	0.0130624,	0.0198759
0.0160805,	0.0122092,	0.0129874,	0.0196761
0.015864,	0.0120559,	0.0127113,	0.0195791
0.0155887,	0.0118686,	0.0125237,	0.0191325
0.0153164,	0.0120367,	0.0122472,	0.0187682
0.0153833,	0.0125583,	0.0119836,	0.0184356
0.0157363,	0.0127419,	0.0116711,	0.0179192
0.0160553,	0.0129172,	0.0113662,	0.0184142
0.0162818,	0.0130143,	0.0113207,	0.0188108
0.0164458,	0.013072,	0.0116284,	0.019145
0.0165254,	0.0130514,	0.0118915,	0.0193697
0.01654,	0.0129813,	0.0121027,	0.0195172
0.0164946,	0.0128668,	0.0122607,	0.0195917
0.0163929,	0.0127102,	0.0123657,	0.019595
