rho,	rhou,	rhov,	rhoet
0.0127548,	0.0114675,	0.00730067,	0.0146107
0.0135978,	0.0121952,	0.00756282,	0.0153873
0.0136003,	0.0122664,	0.00745364,	0.0155055
0.0133529,	0.0120539,	0.00727643,	0.0152486
0.0130474,	0.0117662,	0.00707244,	0.0148885
0.0126967,	0.0114205,	0.00684607,	0.0144724
0.0123516,	0.0111934,	0.00665335,	0.0142041
0.0120735,	0.0109407,	0.00648752,	0.0138935
0.0120074,	0.0112841,	0.00628808,	0.0143197
0.0115948,	0.0107873,	0.00620077,	0.013792
0.0112792,	0.0102147,	0.00622385,	0.0131248
0.010967,	0.00990773,	0.00605044,	0.0127441
0.0106414,	0.00963786,	0.00587119,	0.0123948
0.0103438,	0.00940372,	0.00568606,	0.0121132
0.010078,	0.00915612,	0.00549527,	0.0118125
0.00979299,	0.0089086,	0.00534905,	0.0114978
0.00955774,	0.00871424,	0.00520426,	0.0112631
0.00948174,	0.00883395,	0.00510219,	0.0114375
0.00919259,	0.00841355,	0.0049169,	0.0109177
0.00891422,	0.00813435,	0.00479646,	0.010568
0.00867311,	0.00793455,	0.0046774,	0.0103117
0.00844338,	0.00772544,	0.00467163,	0.0100521
0.00820476,	0.00749602,	0.0045144,	0.00977076
0.00797805,	0.00730104,	0.00435488,	0.00950944
0.00777948,	0.00712884,	0.00420427,	0.00929621
0.00757854,	0.00695046,	0.00408385,	0.00907502
0.00745467,	0.00700602,	0.00401194,	0.00916055
0.00719866,	0.00663259,	0.00385376,	0.00868986
0.00699718,	0.00643406,	0.0037473,	0.00843146
0.00680089,	0.00625712,	0.00364736,	0.00821081
0.00652655,	0.0060113,	0.00350967,	0.00788776
0.00660886,	0.00618777,	0.00339157,	0.00758221
0.00677661,	0.00633541,	0.0032285,	0.00764561
0.00706219,	0.00675572,	0.00318504,	0.0081692
0.00715442,	0.00666503,	0.00332604,	0.00809745
0.00810885,	0.00766985,	0.00338895,	0.0096568
0.00800155,	0.00757372,	0.0034721,	0.00964185
